Statistic,Month,NACE.Group,value
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,Motor trades (45),-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,Department stores (4719),-4.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,Retail sale of automotive fuel (4730),2.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of hardware, paints and glass (4752)",-1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,Retail sale of furniture and lighting (4759),0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,Bars (5630),1.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,All retail businesses,-0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Motor trades and automotive fuel (45,4730)",-2.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"All retail businesses, excluding motor trades and bars",0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"All retail businesses, excluding motor trades",0.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"All retail businesses, excluding motor trades, automotive fuel and bars",0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of food (4711,4721 to 4729)",-0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-4.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of electrical goods (4741 to 4743,4754)",-1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",1.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",2.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of books, newspapers and stationery (4761,4762)",-1.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,Motor trades (45),1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,Department stores (4719),1.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,Retail sale of automotive fuel (4730),-1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of hardware, paints and glass (4752)",-1.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,Retail sale of furniture and lighting (4759),-0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,Bars (5630),-3.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,All retail businesses,0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Motor trades and automotive fuel (45,4730)",1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"All retail businesses, excluding motor trades and bars",0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"All retail businesses, excluding motor trades",0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"All retail businesses, excluding motor trades, automotive fuel and bars",0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of food (4711,4721 to 4729)",0.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of electrical goods (4741 to 4743,4754)",4.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-2.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",2.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",2.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of books, newspapers and stationery (4761,4762)",0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,Motor trades (45),10.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,Department stores (4719),-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,Retail sale of automotive fuel (4730),1.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of hardware, paints and glass (4752)",3.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,Retail sale of furniture and lighting (4759),-0.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,Bars (5630),0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,All retail businesses,0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Motor trades and automotive fuel (45,4730)",3.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"All retail businesses, excluding motor trades and bars",-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"All retail businesses, excluding motor trades",-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"All retail businesses, excluding motor trades, automotive fuel and bars",-0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of food (4711,4721 to 4729)",-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",1.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of electrical goods (4741 to 4743,4754)",-1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",2.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-2.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of books, newspapers and stationery (4761,4762)",-3.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",3.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,Motor trades (45),-3.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,Department stores (4719),-4.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,Retail sale of automotive fuel (4730),-1.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of hardware, paints and glass (4752)",0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,Retail sale of furniture and lighting (4759),-2.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,Bars (5630),0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,All retail businesses,-1.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Motor trades and automotive fuel (45,4730)",-1.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"All retail businesses, excluding motor trades and bars",-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"All retail businesses, excluding motor trades",-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"All retail businesses, excluding motor trades, automotive fuel and bars",-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of food (4711,4721 to 4729)",-0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-1.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of electrical goods (4741 to 4743,4754)",-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-2.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of books, newspapers and stationery (4761,4762)",0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,Motor trades (45),0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,Department stores (4719),5.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,Retail sale of automotive fuel (4730),-1.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of hardware, paints and glass (4752)",1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,Retail sale of furniture and lighting (4759),0.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,Bars (5630),0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,All retail businesses,0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Motor trades and automotive fuel (45,4730)",-1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"All retail businesses, excluding motor trades and bars",0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"All retail businesses, excluding motor trades",0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"All retail businesses, excluding motor trades, automotive fuel and bars",0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of food (4711,4721 to 4729)",-0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",1.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of electrical goods (4741 to 4743,4754)",2.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",3.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",0.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of books, newspapers and stationery (4761,4762)",1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",0.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,Motor trades (45),-2.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,Department stores (4719),0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,Retail sale of automotive fuel (4730),1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of hardware, paints and glass (4752)",-4.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,Retail sale of furniture and lighting (4759),-0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,Bars (5630),-0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,All retail businesses,-0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Motor trades and automotive fuel (45,4730)",-2.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"All retail businesses, excluding motor trades and bars",-0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"All retail businesses, excluding motor trades",-0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"All retail businesses, excluding motor trades, automotive fuel and bars",-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of food (4711,4721 to 4729)",0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-1.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-2.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of electrical goods (4741 to 4743,4754)",-1.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-2.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of books, newspapers and stationery (4761,4762)",1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",0.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,Motor trades (45),3.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,Department stores (4719),0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,Retail sale of automotive fuel (4730),0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of hardware, paints and glass (4752)",-0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,Retail sale of furniture and lighting (4759),-2.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,Bars (5630),3.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,All retail businesses,0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Motor trades and automotive fuel (45,4730)",0.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"All retail businesses, excluding motor trades and bars",0.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"All retail businesses, excluding motor trades",0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"All retail businesses, excluding motor trades, automotive fuel and bars",0.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of food (4711,4721 to 4729)",0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-1.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of electrical goods (4741 to 4743,4754)",-0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-0.9
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-0.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-1.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of books, newspapers and stationery (4761,4762)",-1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",0.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,Motor trades (45),2.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,Department stores (4719),0.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,Retail sale of automotive fuel (4730),-2.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of hardware, paints and glass (4752)",-2.5
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,Retail sale of furniture and lighting (4759),1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,Bars (5630),-2.1
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,All retail businesses,-0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Motor trades and automotive fuel (45,4730)",1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"All retail businesses, excluding motor trades and bars",-0.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"All retail businesses, excluding motor trades",-0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"All retail businesses, excluding motor trades, automotive fuel and bars",-0.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of food (4711,4721 to 4729)",0.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-0.8
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",1.7
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",1.2
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of electrical goods (4741 to 4743,4754)",2.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",1.6
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-1.4
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",-1.3
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of books, newspapers and stationery (4761,4762)",-9.0
Retail Sales Index Volume Adjusted Percentage Change over 1 month,2025 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",1.2
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,Motor trades (45),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,Department stores (4719),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,Retail sale of automotive fuel (4730),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of hardware, paints and glass (4752)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,Retail sale of furniture and lighting (4759),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,Bars (5630),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,All retail businesses,
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Motor trades and automotive fuel (45,4730)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"All retail businesses, excluding motor trades and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"All retail businesses, excluding motor trades",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"All retail businesses, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of food (4711,4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of electrical goods (4741 to 4743,4754)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of books, newspapers and stationery (4761,4762)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,Motor trades (45),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,Department stores (4719),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,Retail sale of automotive fuel (4730),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of hardware, paints and glass (4752)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,Retail sale of furniture and lighting (4759),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,Bars (5630),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,All retail businesses,
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Motor trades and automotive fuel (45,4730)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"All retail businesses, excluding motor trades and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"All retail businesses, excluding motor trades",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"All retail businesses, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of food (4711,4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of electrical goods (4741 to 4743,4754)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of books, newspapers and stationery (4761,4762)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,Motor trades (45),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,Department stores (4719),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,Retail sale of automotive fuel (4730),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of hardware, paints and glass (4752)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,Retail sale of furniture and lighting (4759),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,Bars (5630),
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,All retail businesses,
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Motor trades and automotive fuel (45,4730)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"All retail businesses, excluding motor trades and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"All retail businesses, excluding motor trades",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"All retail businesses, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of food (4711,4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",
Retail Sales Index Volume Adjusted Percentage Change over 12 months,2021 March,"Retail sale of electrical goods (4741 to 4743,4754)",
