Statistic,Month,Industry.Sector.NACE.Rev.2,value
Industrial Production Index,2015 November,"Modern sector (182,20,21,26,27,325)",59.2
Industrial Production Index,2015 November,Capital goods,
Industrial Production Index,2015 November,Intermediate goods,
Industrial Production Index,2015 November,Consumer goods,
Industrial Production Index,2015 November,Durable consumer goods,
Industrial Production Index,2015 November,Non-durable consumer goods,
Industrial Production Index,2015 December,Food products (10),64.7
Industrial Production Index,2015 December,Meat and meat products (101),92.9
Industrial Production Index,2015 December,Dairy products (105),50.2
Industrial Production Index,2015 December,Bakery and farinaceous products (107),103.7
Industrial Production Index,2015 December,Beverages (11),
Industrial Production Index,2015 December,"Wood and wood products, except furniture (16)",47.6
Industrial Production Index,2015 December,Chemicals and chemical products (20),
Industrial Production Index,2015 December,Basic pharmaceutical products and preparations (21),
