,Statistic,Quarter,Eircode.Output,value
215,New Dwelling Completion,2012Q2,K34: Skerries,3
216,New Dwelling Completion,2012Q2,K36: Malahide,7
217,New Dwelling Completion,2012Q2,K45: Lusk,0
218,New Dwelling Completion,2012Q2,K56: Rush,2
219,New Dwelling Completion,2012Q2,K67: Swords,2
220,New Dwelling Completion,2012Q2,K78: Lucan,2
221,New Dwelling Completion,2012Q2,N37: Athlone,9
222,New Dwelling Completion,2012Q2,N39: Longford,25
223,New Dwelling Completion,2012Q2,N41: Carrick-on-Shannon,7
224,New Dwelling Completion,2012Q2,N91: Mullingar,16
225,New Dwelling Completion,2012Q2,P12: Macroom,11
226,New Dwelling Completion,2012Q2,P14: Crookstown,1
227,New Dwelling Completion,2012Q2,P17: Kinsale,9
228,New Dwelling Completion,2012Q2,P24: Cobh,0
229,New Dwelling Completion,2012Q2,P25: Midleton,8
230,New Dwelling Completion,2012Q2,P31: Ballincollig,19
231,New Dwelling Completion,2012Q2,P32: Rylane,3
232,New Dwelling Completion,2012Q2,P36: Youghal,4
233,New Dwelling Completion,2012Q2,P43: Carrigaline,5
234,New Dwelling Completion,2012Q2,P47: Dunmanway,7
235,New Dwelling Completion,2012Q2,P51: Mallow,21
236,New Dwelling Completion,2012Q2,P56: Charleville,5
237,New Dwelling Completion,2012Q2,P61: Fermoy,2
238,New Dwelling Completion,2012Q2,P67: Mitchelstown,5
239,New Dwelling Completion,2012Q2,P72: Bandon,9
240,New Dwelling Completion,2012Q2,P75: Bantry,4
241,New Dwelling Completion,2012Q2,P81: Skibbereen,11
242,New Dwelling Completion,2012Q2,P85: Clonakilty,7
243,New Dwelling Completion,2012Q2,R14: Athy,7
244,New Dwelling Completion,2012Q2,R21: Mhuine Bheag,4
245,New Dwelling Completion,2012Q2,R32: Portlaoise,42
246,New Dwelling Completion,2012Q2,R35: Tullamore,6
247,New Dwelling Completion,2012Q2,R42: Birr,8
248,New Dwelling Completion,2012Q2,R45: Edenderry,0
249,New Dwelling Completion,2012Q2,R51: Kildare,3
250,New Dwelling Completion,2012Q2,R56: Curragh,0
251,New Dwelling Completion,2012Q2,R93: Carlow,8
252,New Dwelling Completion,2012Q2,R95: Kilkenny,12
253,New Dwelling Completion,2012Q2,T12: Cork Southside,10
254,New Dwelling Completion,2012Q2,T23: Cork Northside,5
255,New Dwelling Completion,2012Q2,T34: Carrignavar,0
256,New Dwelling Completion,2012Q2,T45: Glanmire,5
257,New Dwelling Completion,2012Q2,T56: Watergrasshill,2
258,New Dwelling Completion,2012Q2,V14: Shannon,1
259,New Dwelling Completion,2012Q2,V15: Kilrush,1
260,New Dwelling Completion,2012Q2,V23: Caherciveen,3
261,New Dwelling Completion,2012Q2,V31: Listowel,3
262,New Dwelling Completion,2012Q2,V35: Kilmallock,19
263,New Dwelling Completion,2012Q2,V42: Newcastle West,1
264,New Dwelling Completion,2012Q2,V92: Tralee,18
265,New Dwelling Completion,2012Q2,V93: Killarney,22
266,New Dwelling Completion,2012Q2,V94: Limerick,44
267,New Dwelling Completion,2012Q2,V95: Ennis,26
268,New Dwelling Completion,2012Q2,W12: Newbridge,0
269,New Dwelling Completion,2012Q2,W23: Celbridge,13
270,New Dwelling Completion,2012Q2,W34: Monasterevin,1
271,New Dwelling Completion,2012Q2,W91: Naas,25
272,New Dwelling Completion,2012Q2,X35: Dungarvan,2
273,New Dwelling Completion,2012Q2,X42: Kilmacthomas,2
274,New Dwelling Completion,2012Q2,X91: Waterford,11
275,New Dwelling Completion,2012Q2,Y14: Arklow,5
276,New Dwelling Completion,2012Q2,Y21: Enniscorthy,15
277,New Dwelling Completion,2012Q2,Y25: Gorey,10
278,New Dwelling Completion,2012Q2,Y34: New Ross,8
279,New Dwelling Completion,2012Q2,Y35: Wexford,17
280,New Dwelling Completion,2012Q3,All,1205
281,New Dwelling Completion,2012Q3,A41: Ballyboughal,2
282,New Dwelling Completion,2012Q3,A42: Garristown,3
283,New Dwelling Completion,2012Q3,A45: Oldtown,0
284,New Dwelling Completion,2012Q3,A63: Greystones,17
285,New Dwelling Completion,2012Q3,A67: Wicklow,8
286,New Dwelling Completion,2012Q3,A75: Castleblaney,8
287,New Dwelling Completion,2012Q3,A81: Carrickmacross,8
288,New Dwelling Completion,2012Q3,A82: Kells,12
289,New Dwelling Completion,2012Q3,A83: Enfield,5
290,New Dwelling Completion,2012Q3,A84: Ashbourne,7
291,New Dwelling Completion,2012Q3,A85: Dunshaughlin,1
292,New Dwelling Completion,2012Q3,A86: Dunboyne,1
293,New Dwelling Completion,2012Q3,A91: Dundalk,18
294,New Dwelling Completion,2012Q3,A92: Drogheda,46
295,New Dwelling Completion,2012Q3,A94: Blackrock,3
296,New Dwelling Completion,2012Q3,A96: Glenageary,20
297,New Dwelling Completion,2012Q3,A98: Bray,20
298,New Dwelling Completion,2012Q3,C15: Navan,15
299,New Dwelling Completion,2012Q3,D01: Dublin 1,0
300,New Dwelling Completion,2012Q3,D02: Dublin 2,6
301,New Dwelling Completion,2012Q3,D03: Dublin 3,9
302,New Dwelling Completion,2012Q3,D04: Dublin 4,12
303,New Dwelling Completion,2012Q3,D05: Dublin 5,2
304,New Dwelling Completion,2012Q3,D06: Dublin 6,11
305,New Dwelling Completion,2012Q3,D07: Dublin 7,1
306,New Dwelling Completion,2012Q3,D08: Dublin 8,2
307,New Dwelling Completion,2012Q3,D09: Dublin 9,21
308,New Dwelling Completion,2012Q3,D10: Dublin 10,1
309,New Dwelling Completion,2012Q3,D11: Dublin 11,1
310,New Dwelling Completion,2012Q3,D12: Dublin 12,1
311,New Dwelling Completion,2012Q3,D13: Dublin 13,3
312,New Dwelling Completion,2012Q3,D14: Dublin 14,3
313,New Dwelling Completion,2012Q3,D15: Dublin 15,4
314,New Dwelling Completion,2012Q3,D16: Dublin 16,6
315,New Dwelling Completion,2012Q3,D17: Dublin 17,0
316,New Dwelling Completion,2012Q3,D18: Dublin 18,3
317,New Dwelling Completion,2012Q3,D20: Dublin 20,0
318,New Dwelling Completion,2012Q3,D22: Dublin 22,1
