Statistic,Quarter,Type.of.House,value
Seasonally Adjusted New Dwelling Completions,2022Q3,All house types,7477
Seasonally Adjusted New Dwelling Completions,2022Q4,Single house,1383
Seasonally Adjusted New Dwelling Completions,2022Q4,Scheme house,3942
Seasonally Adjusted New Dwelling Completions,2022Q4,Apartment,2194
Seasonally Adjusted New Dwelling Completions,2022Q4,All house types,7520
Seasonally Adjusted New Dwelling Completions,2023Q1,Single house,1376
Seasonally Adjusted New Dwelling Completions,2023Q1,Scheme house,3737
Seasonally Adjusted New Dwelling Completions,2023Q1,Apartment,2941
Seasonally Adjusted New Dwelling Completions,2023Q1,All house types,8054
Seasonally Adjusted New Dwelling Completions,2023Q2,Single house,1397
Seasonally Adjusted New Dwelling Completions,2023Q2,Scheme house,4121
Seasonally Adjusted New Dwelling Completions,2023Q2,Apartment,1940
Seasonally Adjusted New Dwelling Completions,2023Q2,All house types,7458
Seasonally Adjusted New Dwelling Completions,2023Q3,Single house,1400
Seasonally Adjusted New Dwelling Completions,2023Q3,Scheme house,3780
Seasonally Adjusted New Dwelling Completions,2023Q3,Apartment,3427
Seasonally Adjusted New Dwelling Completions,2023Q3,All house types,8607
Seasonally Adjusted New Dwelling Completions,2023Q4,Single house,1363
Seasonally Adjusted New Dwelling Completions,2023Q4,Scheme house,3877
Seasonally Adjusted New Dwelling Completions,2023Q4,Apartment,3166
Seasonally Adjusted New Dwelling Completions,2023Q4,All house types,8406
Seasonally Adjusted New Dwelling Completions,2024Q1,Single house,1388
Seasonally Adjusted New Dwelling Completions,2024Q1,Scheme house,4207
Seasonally Adjusted New Dwelling Completions,2024Q1,Apartment,2014
Seasonally Adjusted New Dwelling Completions,2024Q1,All house types,7608
