,Statistic,Month,Type.of.Residential.Property,value
17154,Percentage Change over 12 months for Residential Property Price Index,2019 December,Midland - houses,5.1
17155,Percentage Change over 12 months for Residential Property Price Index,2019 December,West - houses,4.6
17156,Percentage Change over 12 months for Residential Property Price Index,2019 December,Mid-East - houses,0.7
17157,Percentage Change over 12 months for Residential Property Price Index,2019 December,Mid-West - houses,4.0
17158,Percentage Change over 12 months for Residential Property Price Index,2019 December,South-East - houses,0.8
17159,Percentage Change over 12 months for Residential Property Price Index,2019 December,South-West - houses,1.4
17160,Percentage Change over 12 months for Residential Property Price Index,2020 January,National - all residential properties,1.0
17161,Percentage Change over 12 months for Residential Property Price Index,2020 January,National - houses,1.5
17162,Percentage Change over 12 months for Residential Property Price Index,2020 January,National - apartments,-0.8
17163,Percentage Change over 12 months for Residential Property Price Index,2020 January,Dublin - all residential properties,-0.5
17164,Percentage Change over 12 months for Residential Property Price Index,2020 January,Dublin - houses,0.2
17165,Percentage Change over 12 months for Residential Property Price Index,2020 January,Dublin - apartments,-1.9
17166,Percentage Change over 12 months for Residential Property Price Index,2020 January,Dublin City - houses,-1.4
17167,Percentage Change over 12 months for Residential Property Price Index,2020 January,Dun Laoghaire-Rathdown - houses,-4.1
17168,Percentage Change over 12 months for Residential Property Price Index,2020 January,Fingal - houses,4.6
17169,Percentage Change over 12 months for Residential Property Price Index,2020 January,South Dublin - houses,-1.4
17170,Percentage Change over 12 months for Residential Property Price Index,2020 January,National excluding Dublin - all residential properties,2.6
17171,Percentage Change over 12 months for Residential Property Price Index,2020 January,National excluding Dublin - houses,2.7
17172,Percentage Change over 12 months for Residential Property Price Index,2020 January,National excluding Dublin - apartments,1.5
17173,Percentage Change over 12 months for Residential Property Price Index,2020 January,Border - houses,7.5
17174,Percentage Change over 12 months for Residential Property Price Index,2020 January,Midland - houses,3.6
17175,Percentage Change over 12 months for Residential Property Price Index,2020 January,West - houses,5.9
17176,Percentage Change over 12 months for Residential Property Price Index,2020 January,Mid-East - houses,0.2
17177,Percentage Change over 12 months for Residential Property Price Index,2020 January,Mid-West - houses,2.2
17178,Percentage Change over 12 months for Residential Property Price Index,2020 January,South-East - houses,0.2
17179,Percentage Change over 12 months for Residential Property Price Index,2020 January,South-West - houses,2.5
17180,Percentage Change over 12 months for Residential Property Price Index,2020 February,National - all residential properties,1.0
17181,Percentage Change over 12 months for Residential Property Price Index,2020 February,National - houses,1.3
17182,Percentage Change over 12 months for Residential Property Price Index,2020 February,National - apartments,0.4
17183,Percentage Change over 12 months for Residential Property Price Index,2020 February,Dublin - all residential properties,-0.1
17184,Percentage Change over 12 months for Residential Property Price Index,2020 February,Dublin - houses,0.2
17185,Percentage Change over 12 months for Residential Property Price Index,2020 February,Dublin - apartments,0.1
17186,Percentage Change over 12 months for Residential Property Price Index,2020 February,Dublin City - houses,-1.8
17187,Percentage Change over 12 months for Residential Property Price Index,2020 February,Dun Laoghaire-Rathdown - houses,-3.2
17188,Percentage Change over 12 months for Residential Property Price Index,2020 February,Fingal - houses,4.5
17189,Percentage Change over 12 months for Residential Property Price Index,2020 February,South Dublin - houses,-1.4
17190,Percentage Change over 12 months for Residential Property Price Index,2020 February,National excluding Dublin - all residential properties,2.2
17191,Percentage Change over 12 months for Residential Property Price Index,2020 February,National excluding Dublin - houses,2.3
17192,Percentage Change over 12 months for Residential Property Price Index,2020 February,National excluding Dublin - apartments,1.2
17193,Percentage Change over 12 months for Residential Property Price Index,2020 February,Border - houses,7.9
17194,Percentage Change over 12 months for Residential Property Price Index,2020 February,Midland - houses,3.0
17195,Percentage Change over 12 months for Residential Property Price Index,2020 February,West - houses,5.9
17196,Percentage Change over 12 months for Residential Property Price Index,2020 February,Mid-East - houses,-0.1
17197,Percentage Change over 12 months for Residential Property Price Index,2020 February,Mid-West - houses,1.8
17198,Percentage Change over 12 months for Residential Property Price Index,2020 February,South-East - houses,-1.6
17199,Percentage Change over 12 months for Residential Property Price Index,2020 February,South-West - houses,2.9
17200,Percentage Change over 12 months for Residential Property Price Index,2020 March,National - all residential properties,0.9
17201,Percentage Change over 12 months for Residential Property Price Index,2020 March,National - houses,1.2
17202,Percentage Change over 12 months for Residential Property Price Index,2020 March,National - apartments,1.0
17203,Percentage Change over 12 months for Residential Property Price Index,2020 March,Dublin - all residential properties,0.6
17204,Percentage Change over 12 months for Residential Property Price Index,2020 March,Dublin - houses,0.8
17205,Percentage Change over 12 months for Residential Property Price Index,2020 March,Dublin - apartments,1.4
17206,Percentage Change over 12 months for Residential Property Price Index,2020 March,Dublin City - houses,-1.7
17207,Percentage Change over 12 months for Residential Property Price Index,2020 March,Dun Laoghaire-Rathdown - houses,-1.6
17208,Percentage Change over 12 months for Residential Property Price Index,2020 March,Fingal - houses,4.8
17209,Percentage Change over 12 months for Residential Property Price Index,2020 March,South Dublin - houses,-1.4
17210,Percentage Change over 12 months for Residential Property Price Index,2020 March,National excluding Dublin - all residential properties,1.3
17211,Percentage Change over 12 months for Residential Property Price Index,2020 March,National excluding Dublin - houses,1.5
17212,Percentage Change over 12 months for Residential Property Price Index,2020 March,National excluding Dublin - apartments,-0.7
17213,Percentage Change over 12 months for Residential Property Price Index,2020 March,Border - houses,4.1
17214,Percentage Change over 12 months for Residential Property Price Index,2020 March,Midland - houses,0.1
17215,Percentage Change over 12 months for Residential Property Price Index,2020 March,West - houses,5.1
17216,Percentage Change over 12 months for Residential Property Price Index,2020 March,Mid-East - houses,0.1
17217,Percentage Change over 12 months for Residential Property Price Index,2020 March,Mid-West - houses,2.9
17218,Percentage Change over 12 months for Residential Property Price Index,2020 March,South-East - houses,-1.8
17219,Percentage Change over 12 months for Residential Property Price Index,2020 March,South-West - houses,2.9
17220,Percentage Change over 12 months for Residential Property Price Index,2020 April,National - all residential properties,0.7
17221,Percentage Change over 12 months for Residential Property Price Index,2020 April,National - houses,0.9
17222,Percentage Change over 12 months for Residential Property Price Index,2020 April,National - apartments,1.5
17223,Percentage Change over 12 months for Residential Property Price Index,2020 April,Dublin - all residential properties,0.2
17224,Percentage Change over 12 months for Residential Property Price Index,2020 April,Dublin - houses,0.4
17225,Percentage Change over 12 months for Residential Property Price Index,2020 April,Dublin - apartments,1.5
17226,Percentage Change over 12 months for Residential Property Price Index,2020 April,Dublin City - houses,-1.7
17227,Percentage Change over 12 months for Residential Property Price Index,2020 April,Dun Laoghaire-Rathdown - houses,-1.6
17228,Percentage Change over 12 months for Residential Property Price Index,2020 April,Fingal - houses,3.3
17229,Percentage Change over 12 months for Residential Property Price Index,2020 April,South Dublin - houses,-0.6
17230,Percentage Change over 12 months for Residential Property Price Index,2020 April,National excluding Dublin - all residential properties,1.2
17231,Percentage Change over 12 months for Residential Property Price Index,2020 April,National excluding Dublin - houses,1.4
17232,Percentage Change over 12 months for Residential Property Price Index,2020 April,National excluding Dublin - apartments,-0.4
17233,Percentage Change over 12 months for Residential Property Price Index,2020 April,Border - houses,2.0
17234,Percentage Change over 12 months for Residential Property Price Index,2020 April,Midland - houses,-0.5
17235,Percentage Change over 12 months for Residential Property Price Index,2020 April,West - houses,4.8
17236,Percentage Change over 12 months for Residential Property Price Index,2020 April,Mid-East - houses,0.8
17237,Percentage Change over 12 months for Residential Property Price Index,2020 April,Mid-West - houses,2.1
17238,Percentage Change over 12 months for Residential Property Price Index,2020 April,South-East - houses,-2.2
17239,Percentage Change over 12 months for Residential Property Price Index,2020 April,South-West - houses,3.5
17240,Percentage Change over 12 months for Residential Property Price Index,2020 May,National - all residential properties,0.3
17241,Percentage Change over 12 months for Residential Property Price Index,2020 May,National - houses,0.5
17242,Percentage Change over 12 months for Residential Property Price Index,2020 May,National - apartments,1.8
17243,Percentage Change over 12 months for Residential Property Price Index,2020 May,Dublin - all residential properties,-0.2
17244,Percentage Change over 12 months for Residential Property Price Index,2020 May,Dublin - houses,-0.1
17245,Percentage Change over 12 months for Residential Property Price Index,2020 May,Dublin - apartments,1.6
17246,Percentage Change over 12 months for Residential Property Price Index,2020 May,Dublin City - houses,-1.4
17247,Percentage Change over 12 months for Residential Property Price Index,2020 May,Dun Laoghaire-Rathdown - houses,-0.5
17248,Percentage Change over 12 months for Residential Property Price Index,2020 May,Fingal - houses,1.6
17249,Percentage Change over 12 months for Residential Property Price Index,2020 May,South Dublin - houses,-1.4
17250,Percentage Change over 12 months for Residential Property Price Index,2020 May,National excluding Dublin - all residential properties,0.9
17251,Percentage Change over 12 months for Residential Property Price Index,2020 May,National excluding Dublin - houses,1.1
17252,Percentage Change over 12 months for Residential Property Price Index,2020 May,National excluding Dublin - apartments,-0.4
17253,Percentage Change over 12 months for Residential Property Price Index,2020 May,Border - houses,0.6
17254,Percentage Change over 12 months for Residential Property Price Index,2020 May,Midland - houses,-1.0
17255,Percentage Change over 12 months for Residential Property Price Index,2020 May,West - houses,4.3
17256,Percentage Change over 12 months for Residential Property Price Index,2020 May,Mid-East - houses,-0.1
17257,Percentage Change over 12 months for Residential Property Price Index,2020 May,Mid-West - houses,1.3
17258,Percentage Change over 12 months for Residential Property Price Index,2020 May,South-East - houses,-0.5
17259,Percentage Change over 12 months for Residential Property Price Index,2020 May,South-West - houses,4.7
17260,Percentage Change over 12 months for Residential Property Price Index,2020 June,National - all residential properties,0.0
17261,Percentage Change over 12 months for Residential Property Price Index,2020 June,National - houses,0.1
17262,Percentage Change over 12 months for Residential Property Price Index,2020 June,National - apartments,2.2
17263,Percentage Change over 12 months for Residential Property Price Index,2020 June,Dublin - all residential properties,-0.6
17264,Percentage Change over 12 months for Residential Property Price Index,2020 June,Dublin - houses,-0.7
17265,Percentage Change over 12 months for Residential Property Price Index,2020 June,Dublin - apartments,2.1
17266,Percentage Change over 12 months for Residential Property Price Index,2020 June,Dublin City - houses,-1.5
17267,Percentage Change over 12 months for Residential Property Price Index,2020 June,Dun Laoghaire-Rathdown - houses,0.3
17268,Percentage Change over 12 months for Residential Property Price Index,2020 June,Fingal - houses,0.2
17269,Percentage Change over 12 months for Residential Property Price Index,2020 June,South Dublin - houses,-2.3
17270,Percentage Change over 12 months for Residential Property Price Index,2020 June,National excluding Dublin - all residential properties,0.6
17271,Percentage Change over 12 months for Residential Property Price Index,2020 June,National excluding Dublin - houses,0.8
17272,Percentage Change over 12 months for Residential Property Price Index,2020 June,National excluding Dublin - apartments,-1.5
17273,Percentage Change over 12 months for Residential Property Price Index,2020 June,Border - houses,-1.4
17274,Percentage Change over 12 months for Residential Property Price Index,2020 June,Midland - houses,0.6
17275,Percentage Change over 12 months for Residential Property Price Index,2020 June,West - houses,3.9
17276,Percentage Change over 12 months for Residential Property Price Index,2020 June,Mid-East - houses,-0.2
17277,Percentage Change over 12 months for Residential Property Price Index,2020 June,Mid-West - houses,0.5
17278,Percentage Change over 12 months for Residential Property Price Index,2020 June,South-East - houses,-0.8
17279,Percentage Change over 12 months for Residential Property Price Index,2020 June,South-West - houses,5.5
17280,Percentage Change over 12 months for Residential Property Price Index,2020 July,National - all residential properties,-0.7
17281,Percentage Change over 12 months for Residential Property Price Index,2020 July,National - houses,-0.4
17282,Percentage Change over 12 months for Residential Property Price Index,2020 July,National - apartments,1.6
17283,Percentage Change over 12 months for Residential Property Price Index,2020 July,Dublin - all residential properties,-1.4
17284,Percentage Change over 12 months for Residential Property Price Index,2020 July,Dublin - houses,-1.3
17285,Percentage Change over 12 months for Residential Property Price Index,2020 July,Dublin - apartments,0.3
17286,Percentage Change over 12 months for Residential Property Price Index,2020 July,Dublin City - houses,-2.8
17287,Percentage Change over 12 months for Residential Property Price Index,2020 July,Dun Laoghaire-Rathdown - houses,0.6
17288,Percentage Change over 12 months for Residential Property Price Index,2020 July,Fingal - houses,0.9
17289,Percentage Change over 12 months for Residential Property Price Index,2020 July,South Dublin - houses,-2.2
17290,Percentage Change over 12 months for Residential Property Price Index,2020 July,National excluding Dublin - all residential properties,0.1
17291,Percentage Change over 12 months for Residential Property Price Index,2020 July,National excluding Dublin - houses,0.2
17292,Percentage Change over 12 months for Residential Property Price Index,2020 July,National excluding Dublin - apartments,-0.5
17293,Percentage Change over 12 months for Residential Property Price Index,2020 July,Border - houses,-2.2
17294,Percentage Change over 12 months for Residential Property Price Index,2020 July,Midland - houses,2.9
17295,Percentage Change over 12 months for Residential Property Price Index,2020 July,West - houses,1.9
17296,Percentage Change over 12 months for Residential Property Price Index,2020 July,Mid-East - houses,0.2
17297,Percentage Change over 12 months for Residential Property Price Index,2020 July,Mid-West - houses,0.6
17298,Percentage Change over 12 months for Residential Property Price Index,2020 July,South-East - houses,-1.6
17299,Percentage Change over 12 months for Residential Property Price Index,2020 July,South-West - houses,4.5
17300,Percentage Change over 12 months for Residential Property Price Index,2020 August,National - all residential properties,-0.9
17301,Percentage Change over 12 months for Residential Property Price Index,2020 August,National - houses,-0.7
17302,Percentage Change over 12 months for Residential Property Price Index,2020 August,National - apartments,1.0
17303,Percentage Change over 12 months for Residential Property Price Index,2020 August,Dublin - all residential properties,-1.8
17304,Percentage Change over 12 months for Residential Property Price Index,2020 August,Dublin - houses,-1.6
17305,Percentage Change over 12 months for Residential Property Price Index,2020 August,Dublin - apartments,-0.4
17306,Percentage Change over 12 months for Residential Property Price Index,2020 August,Dublin City - houses,-3.7
17307,Percentage Change over 12 months for Residential Property Price Index,2020 August,Dun Laoghaire-Rathdown - houses,0.3
17308,Percentage Change over 12 months for Residential Property Price Index,2020 August,Fingal - houses,1.8
17309,Percentage Change over 12 months for Residential Property Price Index,2020 August,South Dublin - houses,-1.8
17310,Percentage Change over 12 months for Residential Property Price Index,2020 August,National excluding Dublin - all residential properties,-0.1
17311,Percentage Change over 12 months for Residential Property Price Index,2020 August,National excluding Dublin - houses,0.1
17312,Percentage Change over 12 months for Residential Property Price Index,2020 August,National excluding Dublin - apartments,-1.0
17313,Percentage Change over 12 months for Residential Property Price Index,2020 August,Border - houses,-4.0
17314,Percentage Change over 12 months for Residential Property Price Index,2020 August,Midland - houses,3.3
17315,Percentage Change over 12 months for Residential Property Price Index,2020 August,West - houses,1.0
17316,Percentage Change over 12 months for Residential Property Price Index,2020 August,Mid-East - houses,0.6
17317,Percentage Change over 12 months for Residential Property Price Index,2020 August,Mid-West - houses,-2.0
17318,Percentage Change over 12 months for Residential Property Price Index,2020 August,South-East - houses,-0.3
17319,Percentage Change over 12 months for Residential Property Price Index,2020 August,South-West - houses,4.1
17320,Percentage Change over 12 months for Residential Property Price Index,2020 September,National - all residential properties,-0.8
17321,Percentage Change over 12 months for Residential Property Price Index,2020 September,National - houses,-0.6
17322,Percentage Change over 12 months for Residential Property Price Index,2020 September,National - apartments,1.2
17323,Percentage Change over 12 months for Residential Property Price Index,2020 September,Dublin - all residential properties,-1.8
17324,Percentage Change over 12 months for Residential Property Price Index,2020 September,Dublin - houses,-1.6
17325,Percentage Change over 12 months for Residential Property Price Index,2020 September,Dublin - apartments,-0.7
17326,Percentage Change over 12 months for Residential Property Price Index,2020 September,Dublin City - houses,-4.4
17327,Percentage Change over 12 months for Residential Property Price Index,2020 September,Dun Laoghaire-Rathdown - houses,0.1
17328,Percentage Change over 12 months for Residential Property Price Index,2020 September,Fingal - houses,1.9
17329,Percentage Change over 12 months for Residential Property Price Index,2020 September,South Dublin - houses,-0.2
17330,Percentage Change over 12 months for Residential Property Price Index,2020 September,National excluding Dublin - all residential properties,0.2
17331,Percentage Change over 12 months for Residential Property Price Index,2020 September,National excluding Dublin - houses,0.2
17332,Percentage Change over 12 months for Residential Property Price Index,2020 September,National excluding Dublin - apartments,0.7
17333,Percentage Change over 12 months for Residential Property Price Index,2020 September,Border - houses,-4.2
17334,Percentage Change over 12 months for Residential Property Price Index,2020 September,Midland - houses,2.8
17335,Percentage Change over 12 months for Residential Property Price Index,2020 September,West - houses,0.8
17336,Percentage Change over 12 months for Residential Property Price Index,2020 September,Mid-East - houses,1.3
17337,Percentage Change over 12 months for Residential Property Price Index,2020 September,Mid-West - houses,-4.4
17338,Percentage Change over 12 months for Residential Property Price Index,2020 September,South-East - houses,1.4
17339,Percentage Change over 12 months for Residential Property Price Index,2020 September,South-West - houses,3.4
17340,Percentage Change over 12 months for Residential Property Price Index,2020 October,National - all residential properties,-0.5
17341,Percentage Change over 12 months for Residential Property Price Index,2020 October,National - houses,-0.4
17342,Percentage Change over 12 months for Residential Property Price Index,2020 October,National - apartments,1.8
17343,Percentage Change over 12 months for Residential Property Price Index,2020 October,Dublin - all residential properties,-1.3
17344,Percentage Change over 12 months for Residential Property Price Index,2020 October,Dublin - houses,-1.4
17345,Percentage Change over 12 months for Residential Property Price Index,2020 October,Dublin - apartments,0.4
17346,Percentage Change over 12 months for Residential Property Price Index,2020 October,Dublin City - houses,-3.9
17347,Percentage Change over 12 months for Residential Property Price Index,2020 October,Dun Laoghaire-Rathdown - houses,-1.0
17348,Percentage Change over 12 months for Residential Property Price Index,2020 October,Fingal - houses,2.0
17349,Percentage Change over 12 months for Residential Property Price Index,2020 October,South Dublin - houses,1.5
17350,Percentage Change over 12 months for Residential Property Price Index,2020 October,National excluding Dublin - all residential properties,0.3
17351,Percentage Change over 12 months for Residential Property Price Index,2020 October,National excluding Dublin - houses,0.3
17352,Percentage Change over 12 months for Residential Property Price Index,2020 October,National excluding Dublin - apartments,1.0
17353,Percentage Change over 12 months for Residential Property Price Index,2020 October,Border - houses,-3.8
17354,Percentage Change over 12 months for Residential Property Price Index,2020 October,Midland - houses,1.8
17355,Percentage Change over 12 months for Residential Property Price Index,2020 October,West - houses,2.0
17356,Percentage Change over 12 months for Residential Property Price Index,2020 October,Mid-East - houses,1.7
17357,Percentage Change over 12 months for Residential Property Price Index,2020 October,Mid-West - houses,-4.9
17358,Percentage Change over 12 months for Residential Property Price Index,2020 October,South-East - houses,0.9
17359,Percentage Change over 12 months for Residential Property Price Index,2020 October,South-West - houses,3.0
17360,Percentage Change over 12 months for Residential Property Price Index,2020 November,National - all residential properties,0.4
17361,Percentage Change over 12 months for Residential Property Price Index,2020 November,National - houses,0.3
17362,Percentage Change over 12 months for Residential Property Price Index,2020 November,National - apartments,2.4
17363,Percentage Change over 12 months for Residential Property Price Index,2020 November,Dublin - all residential properties,-0.6
17364,Percentage Change over 12 months for Residential Property Price Index,2020 November,Dublin - houses,-0.9
17365,Percentage Change over 12 months for Residential Property Price Index,2020 November,Dublin - apartments,1.4
17366,Percentage Change over 12 months for Residential Property Price Index,2020 November,Dublin City - houses,-2.2
17367,Percentage Change over 12 months for Residential Property Price Index,2020 November,Dun Laoghaire-Rathdown - houses,-1.2
17368,Percentage Change over 12 months for Residential Property Price Index,2020 November,Fingal - houses,0.6
17369,Percentage Change over 12 months for Residential Property Price Index,2020 November,South Dublin - houses,2.6
17370,Percentage Change over 12 months for Residential Property Price Index,2020 November,National excluding Dublin - all residential properties,1.3
17371,Percentage Change over 12 months for Residential Property Price Index,2020 November,National excluding Dublin - houses,1.3
17372,Percentage Change over 12 months for Residential Property Price Index,2020 November,National excluding Dublin - apartments,1.9
17373,Percentage Change over 12 months for Residential Property Price Index,2020 November,Border - houses,-2.0
17374,Percentage Change over 12 months for Residential Property Price Index,2020 November,Midland - houses,1.2
17375,Percentage Change over 12 months for Residential Property Price Index,2020 November,West - houses,3.2
17376,Percentage Change over 12 months for Residential Property Price Index,2020 November,Mid-East - houses,2.5
17377,Percentage Change over 12 months for Residential Property Price Index,2020 November,Mid-West - houses,-4.0
17378,Percentage Change over 12 months for Residential Property Price Index,2020 November,South-East - houses,2.7
17379,Percentage Change over 12 months for Residential Property Price Index,2020 November,South-West - houses,3.0
17380,Percentage Change over 12 months for Residential Property Price Index,2020 December,National - all residential properties,2.2
17381,Percentage Change over 12 months for Residential Property Price Index,2020 December,National - houses,1.8
17382,Percentage Change over 12 months for Residential Property Price Index,2020 December,National - apartments,5.0
17383,Percentage Change over 12 months for Residential Property Price Index,2020 December,Dublin - all residential properties,1.5
17384,Percentage Change over 12 months for Residential Property Price Index,2020 December,Dublin - houses,0.5
17385,Percentage Change over 12 months for Residential Property Price Index,2020 December,Dublin - apartments,5.2
17386,Percentage Change over 12 months for Residential Property Price Index,2020 December,Dublin City - houses,-0.9
17387,Percentage Change over 12 months for Residential Property Price Index,2020 December,Dun Laoghaire-Rathdown - houses,0.1
17388,Percentage Change over 12 months for Residential Property Price Index,2020 December,Fingal - houses,1.2
17389,Percentage Change over 12 months for Residential Property Price Index,2020 December,South Dublin - houses,2.8
17390,Percentage Change over 12 months for Residential Property Price Index,2020 December,National excluding Dublin - all residential properties,3.0
17391,Percentage Change over 12 months for Residential Property Price Index,2020 December,National excluding Dublin - houses,2.8
17392,Percentage Change over 12 months for Residential Property Price Index,2020 December,National excluding Dublin - apartments,4.6
17393,Percentage Change over 12 months for Residential Property Price Index,2020 December,Border - houses,-0.1
17394,Percentage Change over 12 months for Residential Property Price Index,2020 December,Midland - houses,1.8
17395,Percentage Change over 12 months for Residential Property Price Index,2020 December,West - houses,4.4
17396,Percentage Change over 12 months for Residential Property Price Index,2020 December,Mid-East - houses,3.4
17397,Percentage Change over 12 months for Residential Property Price Index,2020 December,Mid-West - houses,-1.7
17398,Percentage Change over 12 months for Residential Property Price Index,2020 December,South-East - houses,4.6
17399,Percentage Change over 12 months for Residential Property Price Index,2020 December,South-West - houses,3.6
17400,Percentage Change over 12 months for Residential Property Price Index,2021 January,National - all residential properties,2.5
17401,Percentage Change over 12 months for Residential Property Price Index,2021 January,National - houses,2.3
17402,Percentage Change over 12 months for Residential Property Price Index,2021 January,National - apartments,3.3
17403,Percentage Change over 12 months for Residential Property Price Index,2021 January,Dublin - all residential properties,0.9
17404,Percentage Change over 12 months for Residential Property Price Index,2021 January,Dublin - houses,0.6
17405,Percentage Change over 12 months for Residential Property Price Index,2021 January,Dublin - apartments,2.0
17406,Percentage Change over 12 months for Residential Property Price Index,2021 January,Dublin City - houses,-0.1
17407,Percentage Change over 12 months for Residential Property Price Index,2021 January,Dun Laoghaire-Rathdown - houses,0.9
17408,Percentage Change over 12 months for Residential Property Price Index,2021 January,Fingal - houses,-0.7
17409,Percentage Change over 12 months for Residential Property Price Index,2021 January,South Dublin - houses,3.1
17410,Percentage Change over 12 months for Residential Property Price Index,2021 January,National excluding Dublin - all residential properties,3.9
17411,Percentage Change over 12 months for Residential Property Price Index,2021 January,National excluding Dublin - houses,3.7
17412,Percentage Change over 12 months for Residential Property Price Index,2021 January,National excluding Dublin - apartments,6.7
17413,Percentage Change over 12 months for Residential Property Price Index,2021 January,Border - houses,1.2
17414,Percentage Change over 12 months for Residential Property Price Index,2021 January,Midland - houses,3.2
17415,Percentage Change over 12 months for Residential Property Price Index,2021 January,West - houses,5.4
17416,Percentage Change over 12 months for Residential Property Price Index,2021 January,Mid-East - houses,4.1
17417,Percentage Change over 12 months for Residential Property Price Index,2021 January,Mid-West - houses,0.1
17418,Percentage Change over 12 months for Residential Property Price Index,2021 January,South-East - houses,5.4
17419,Percentage Change over 12 months for Residential Property Price Index,2021 January,South-West - houses,3.9
17420,Percentage Change over 12 months for Residential Property Price Index,2021 February,National - all residential properties,3.0
17421,Percentage Change over 12 months for Residential Property Price Index,2021 February,National - houses,3.0
17422,Percentage Change over 12 months for Residential Property Price Index,2021 February,National - apartments,3.1
17423,Percentage Change over 12 months for Residential Property Price Index,2021 February,Dublin - all residential properties,1.4
17424,Percentage Change over 12 months for Residential Property Price Index,2021 February,Dublin - houses,1.5
17425,Percentage Change over 12 months for Residential Property Price Index,2021 February,Dublin - apartments,1.1
17426,Percentage Change over 12 months for Residential Property Price Index,2021 February,Dublin City - houses,1.6
17427,Percentage Change over 12 months for Residential Property Price Index,2021 February,Dun Laoghaire-Rathdown - houses,1.6
17428,Percentage Change over 12 months for Residential Property Price Index,2021 February,Fingal - houses,-0.4
17429,Percentage Change over 12 months for Residential Property Price Index,2021 February,South Dublin - houses,3.3
17430,Percentage Change over 12 months for Residential Property Price Index,2021 February,National excluding Dublin - all residential properties,4.5
17431,Percentage Change over 12 months for Residential Property Price Index,2021 February,National excluding Dublin - houses,4.2
17432,Percentage Change over 12 months for Residential Property Price Index,2021 February,National excluding Dublin - apartments,8.3
17433,Percentage Change over 12 months for Residential Property Price Index,2021 February,Border - houses,0.4
17434,Percentage Change over 12 months for Residential Property Price Index,2021 February,Midland - houses,4.7
17435,Percentage Change over 12 months for Residential Property Price Index,2021 February,West - houses,5.3
17436,Percentage Change over 12 months for Residential Property Price Index,2021 February,Mid-East - houses,5.3
17437,Percentage Change over 12 months for Residential Property Price Index,2021 February,Mid-West - houses,1.0
17438,Percentage Change over 12 months for Residential Property Price Index,2021 February,South-East - houses,6.3
17439,Percentage Change over 12 months for Residential Property Price Index,2021 February,South-West - houses,3.2
17440,Percentage Change over 12 months for Residential Property Price Index,2021 March,National - all residential properties,3.5
17441,Percentage Change over 12 months for Residential Property Price Index,2021 March,National - houses,3.5
17442,Percentage Change over 12 months for Residential Property Price Index,2021 March,National - apartments,3.2
17443,Percentage Change over 12 months for Residential Property Price Index,2021 March,Dublin - all residential properties,2.3
17444,Percentage Change over 12 months for Residential Property Price Index,2021 March,Dublin - houses,2.7
17445,Percentage Change over 12 months for Residential Property Price Index,2021 March,Dublin - apartments,0.5
17446,Percentage Change over 12 months for Residential Property Price Index,2021 March,Dublin City - houses,3.3
17447,Percentage Change over 12 months for Residential Property Price Index,2021 March,Dun Laoghaire-Rathdown - houses,2.6
17448,Percentage Change over 12 months for Residential Property Price Index,2021 March,Fingal - houses,0.8
17449,Percentage Change over 12 months for Residential Property Price Index,2021 March,South Dublin - houses,3.7
17450,Percentage Change over 12 months for Residential Property Price Index,2021 March,National excluding Dublin - all residential properties,4.7
17451,Percentage Change over 12 months for Residential Property Price Index,2021 March,National excluding Dublin - houses,4.3
17452,Percentage Change over 12 months for Residential Property Price Index,2021 March,National excluding Dublin - apartments,10.2
17453,Percentage Change over 12 months for Residential Property Price Index,2021 March,Border - houses,4.0
17454,Percentage Change over 12 months for Residential Property Price Index,2021 March,Midland - houses,7.1
17455,Percentage Change over 12 months for Residential Property Price Index,2021 March,West - houses,4.5
17456,Percentage Change over 12 months for Residential Property Price Index,2021 March,Mid-East - houses,5.6
17457,Percentage Change over 12 months for Residential Property Price Index,2021 March,Mid-West - houses,0.8
17458,Percentage Change over 12 months for Residential Property Price Index,2021 March,South-East - houses,5.6
17459,Percentage Change over 12 months for Residential Property Price Index,2021 March,South-West - houses,2.3
17460,Percentage Change over 12 months for Residential Property Price Index,2021 April,National - all residential properties,4.5
17461,Percentage Change over 12 months for Residential Property Price Index,2021 April,National - houses,4.6
17462,Percentage Change over 12 months for Residential Property Price Index,2021 April,National - apartments,3.7
17463,Percentage Change over 12 months for Residential Property Price Index,2021 April,Dublin - all residential properties,3.7
17464,Percentage Change over 12 months for Residential Property Price Index,2021 April,Dublin - houses,4.4
17465,Percentage Change over 12 months for Residential Property Price Index,2021 April,Dublin - apartments,0.6
17466,Percentage Change over 12 months for Residential Property Price Index,2021 April,Dublin City - houses,4.9
17467,Percentage Change over 12 months for Residential Property Price Index,2021 April,Dun Laoghaire-Rathdown - houses,5.0
17468,Percentage Change over 12 months for Residential Property Price Index,2021 April,Fingal - houses,3.0
17469,Percentage Change over 12 months for Residential Property Price Index,2021 April,South Dublin - houses,3.9
17470,Percentage Change over 12 months for Residential Property Price Index,2021 April,National excluding Dublin - all residential properties,5.3
17471,Percentage Change over 12 months for Residential Property Price Index,2021 April,National excluding Dublin - houses,4.9
17472,Percentage Change over 12 months for Residential Property Price Index,2021 April,National excluding Dublin - apartments,11.7
17473,Percentage Change over 12 months for Residential Property Price Index,2021 April,Border - houses,8.0
17474,Percentage Change over 12 months for Residential Property Price Index,2021 April,Midland - houses,7.8
17475,Percentage Change over 12 months for Residential Property Price Index,2021 April,West - houses,4.5
