,Statistic,Month,Type.of.Residential.Property,value
377,Residential Property Price Index,2006 July,Mid-West - houses,
378,Residential Property Price Index,2006 July,South-East - houses,
379,Residential Property Price Index,2006 July,South-West - houses,
380,Residential Property Price Index,2006 August,National - all residential properties,157.1
381,Residential Property Price Index,2006 August,National - houses,153.0
382,Residential Property Price Index,2006 August,National - apartments,182.5
383,Residential Property Price Index,2006 August,Dublin - all residential properties,157.9
384,Residential Property Price Index,2006 August,Dublin - houses,152.9
385,Residential Property Price Index,2006 August,Dublin - apartments,176.7
386,Residential Property Price Index,2006 August,Dublin City - houses,
387,Residential Property Price Index,2006 August,Dun Laoghaire-Rathdown - houses,
388,Residential Property Price Index,2006 August,Fingal - houses,
389,Residential Property Price Index,2006 August,South Dublin - houses,
390,Residential Property Price Index,2006 August,National excluding Dublin - all residential properties,172.8
391,Residential Property Price Index,2006 August,National excluding Dublin - houses,169.9
392,Residential Property Price Index,2006 August,National excluding Dublin - apartments,225.7
393,Residential Property Price Index,2006 August,Border - houses,
394,Residential Property Price Index,2006 August,Midland - houses,
395,Residential Property Price Index,2006 August,West - houses,
396,Residential Property Price Index,2006 August,Mid-East - houses,
397,Residential Property Price Index,2006 August,Mid-West - houses,
398,Residential Property Price Index,2006 August,South-East - houses,
399,Residential Property Price Index,2006 August,South-West - houses,
400,Residential Property Price Index,2006 September,National - all residential properties,158.4
401,Residential Property Price Index,2006 September,National - houses,154.1
402,Residential Property Price Index,2006 September,National - apartments,185.5
403,Residential Property Price Index,2006 September,Dublin - all residential properties,158.2
404,Residential Property Price Index,2006 September,Dublin - houses,152.6
405,Residential Property Price Index,2006 September,Dublin - apartments,179.7
406,Residential Property Price Index,2006 September,Dublin City - houses,
407,Residential Property Price Index,2006 September,Dun Laoghaire-Rathdown - houses,
408,Residential Property Price Index,2006 September,Fingal - houses,
409,Residential Property Price Index,2006 September,South Dublin - houses,
410,Residential Property Price Index,2006 September,National excluding Dublin - all residential properties,174.9
411,Residential Property Price Index,2006 September,National excluding Dublin - houses,171.9
412,Residential Property Price Index,2006 September,National excluding Dublin - apartments,229.7
413,Residential Property Price Index,2006 September,Border - houses,
414,Residential Property Price Index,2006 September,Midland - houses,
415,Residential Property Price Index,2006 September,West - houses,
416,Residential Property Price Index,2006 September,Mid-East - houses,
417,Residential Property Price Index,2006 September,Mid-West - houses,
418,Residential Property Price Index,2006 September,South-East - houses,
419,Residential Property Price Index,2006 September,South-West - houses,
420,Residential Property Price Index,2006 October,National - all residential properties,159.4
421,Residential Property Price Index,2006 October,National - houses,155.1
422,Residential Property Price Index,2006 October,National - apartments,186.9
