Statistic,Quarter,NACE.Rev..2.Sector,value
Compensation of Employees at Constant Prices,2013Q4,"Arts, Entertainment and Other Services",611.4357088
Compensation of Employees at Constant Prices,2013Q4,All Sectors,23712.818773
Compensation of Employees at Constant Prices,2014Q1,"Agriculture, Forestry and Fishing",293.0774874
Compensation of Employees at Constant Prices,2014Q1,Industry (excl. Construction),3220.6772456
Compensation of Employees at Constant Prices,2014Q1,Industry - of which Manufacturing,3014.2159482
Compensation of Employees at Constant Prices,2014Q1,Construction,719.8438615
Compensation of Employees at Constant Prices,2014Q1,"Distribution, Transport, Hotels and Restaurants",4867.253818
Compensation of Employees at Constant Prices,2014Q1,Information and Communication,1900.8967471
Compensation of Employees at Constant Prices,2014Q1,Financial and Insurance Activities,1914.0270539
Compensation of Employees at Constant Prices,2014Q1,Real Estate Activities,273.8870662
Compensation of Employees at Constant Prices,2014Q1,"Professional, Admin and Support Services",3401.3386421
Compensation of Employees at Constant Prices,2014Q1,"Public Admin, Education and Health",6834.6484804
Compensation of Employees at Constant Prices,2014Q1,"Arts, Entertainment and Other Services",628.1360535
Compensation of Employees at Constant Prices,2014Q1,All Sectors,24032.3873262
Compensation of Employees at Constant Prices,2014Q2,"Agriculture, Forestry and Fishing",306.8440663
Compensation of Employees at Constant Prices,2014Q2,Industry (excl. Construction),3277.2064939
Compensation of Employees at Constant Prices,2014Q2,Industry - of which Manufacturing,3026.8704864
Compensation of Employees at Constant Prices,2014Q2,Construction,769.1073363
Compensation of Employees at Constant Prices,2014Q2,"Distribution, Transport, Hotels and Restaurants",5026.7222243
Compensation of Employees at Constant Prices,2014Q2,Information and Communication,1983.8147676
Compensation of Employees at Constant Prices,2014Q2,Financial and Insurance Activities,1847.7086104
Compensation of Employees at Constant Prices,2014Q2,Real Estate Activities,260.0632418
Compensation of Employees at Constant Prices,2014Q2,"Professional, Admin and Support Services",3417.3351606
Compensation of Employees at Constant Prices,2014Q2,"Public Admin, Education and Health",6705.6966819
Compensation of Employees at Constant Prices,2014Q2,"Arts, Entertainment and Other Services",631.9298486
Compensation of Employees at Constant Prices,2014Q2,All Sectors,24160.6257447
Compensation of Employees at Constant Prices,2014Q3,"Agriculture, Forestry and Fishing",306.0863712
Compensation of Employees at Constant Prices,2014Q3,Industry (excl. Construction),3306.8747126
Compensation of Employees at Constant Prices,2014Q3,Industry - of which Manufacturing,3072.9733966
Compensation of Employees at Constant Prices,2014Q3,Construction,836.4985933
Compensation of Employees at Constant Prices,2014Q3,"Distribution, Transport, Hotels and Restaurants",5080.4418077
Compensation of Employees at Constant Prices,2014Q3,Information and Communication,1876.8804344
Compensation of Employees at Constant Prices,2014Q3,Financial and Insurance Activities,1973.1414771
Compensation of Employees at Constant Prices,2014Q3,Real Estate Activities,338.9395368
Compensation of Employees at Constant Prices,2014Q3,"Professional, Admin and Support Services",3459.9825164
Compensation of Employees at Constant Prices,2014Q3,"Public Admin, Education and Health",6153.0028921
Compensation of Employees at Constant Prices,2014Q3,"Arts, Entertainment and Other Services",624.8010146
Compensation of Employees at Constant Prices,2014Q3,All Sectors,23820.0463196
Compensation of Employees at Constant Prices,2014Q4,"Agriculture, Forestry and Fishing",290.8329081
Compensation of Employees at Constant Prices,2014Q4,Industry (excl. Construction),3341.9002816
Compensation of Employees at Constant Prices,2014Q4,Industry - of which Manufacturing,3174.3389277
Compensation of Employees at Constant Prices,2014Q4,Construction,848.5782823
Compensation of Employees at Constant Prices,2014Q4,"Distribution, Transport, Hotels and Restaurants",5129.7284751
Compensation of Employees at Constant Prices,2014Q4,Information and Communication,1986.2466463
Compensation of Employees at Constant Prices,2014Q4,Financial and Insurance Activities,1946.7653857
Compensation of Employees at Constant Prices,2014Q4,Real Estate Activities,381.4968773
Compensation of Employees at Constant Prices,2014Q4,"Professional, Admin and Support Services",3584.6108098
Compensation of Employees at Constant Prices,2014Q4,"Public Admin, Education and Health",6941.2012088
Compensation of Employees at Constant Prices,2014Q4,"Arts, Entertainment and Other Services",611.3274558
Compensation of Employees at Constant Prices,2014Q4,All Sectors,24983.1571034
Compensation of Employees at Constant Prices,2015Q1,"Agriculture, Forestry and Fishing",295.5443042
Compensation of Employees at Constant Prices,2015Q1,Industry (excl. Construction),3418.4726439
Compensation of Employees at Constant Prices,2015Q1,Industry - of which Manufacturing,3229.9182069
Compensation of Employees at Constant Prices,2015Q1,Construction,885.8473373
Compensation of Employees at Constant Prices,2015Q1,"Distribution, Transport, Hotels and Restaurants",5001.3848862
Compensation of Employees at Constant Prices,2015Q1,Information and Communication,2037.4435475
Compensation of Employees at Constant Prices,2015Q1,Financial and Insurance Activities,1947.9404139
Compensation of Employees at Constant Prices,2015Q1,Real Estate Activities,371.4130018
Compensation of Employees at Constant Prices,2015Q1,"Professional, Admin and Support Services",3338.9851382
Compensation of Employees at Constant Prices,2015Q1,"Public Admin, Education and Health",6916.8381661
Compensation of Employees at Constant Prices,2015Q1,"Arts, Entertainment and Other Services",650.9186106
Compensation of Employees at Constant Prices,2015Q1,All Sectors,24817.3395329
Compensation of Employees at Constant Prices,2015Q2,"Agriculture, Forestry and Fishing",329.0200869
Compensation of Employees at Constant Prices,2015Q2,Industry (excl. Construction),3429.7759611
Compensation of Employees at Constant Prices,2015Q2,Industry - of which Manufacturing,3247.7946558
Compensation of Employees at Constant Prices,2015Q2,Construction,946.0415785
Compensation of Employees at Constant Prices,2015Q2,"Distribution, Transport, Hotels and Restaurants",5143.388635
Compensation of Employees at Constant Prices,2015Q2,Information and Communication,2036.8315944
Compensation of Employees at Constant Prices,2015Q2,Financial and Insurance Activities,1953.2278357
Compensation of Employees at Constant Prices,2015Q2,Real Estate Activities,370.259538
Compensation of Employees at Constant Prices,2015Q2,"Professional, Admin and Support Services",3655.7781902
Compensation of Employees at Constant Prices,2015Q2,"Public Admin, Education and Health",6752.5371058
Compensation of Employees at Constant Prices,2015Q2,"Arts, Entertainment and Other Services",678.8027017
Compensation of Employees at Constant Prices,2015Q2,All Sectors,25151.9692333
Compensation of Employees at Constant Prices,2015Q3,"Agriculture, Forestry and Fishing",308.2823639
Compensation of Employees at Constant Prices,2015Q3,Industry (excl. Construction),3528.856241
Compensation of Employees at Constant Prices,2015Q3,Industry - of which Manufacturing,3313.1955023
Compensation of Employees at Constant Prices,2015Q3,Construction,988.6152855
Compensation of Employees at Constant Prices,2015Q3,"Distribution, Transport, Hotels and Restaurants",5164.3166169
Compensation of Employees at Constant Prices,2015Q3,Information and Communication,2067.242379
Compensation of Employees at Constant Prices,2015Q3,Financial and Insurance Activities,1934.8468829
Compensation of Employees at Constant Prices,2015Q3,Real Estate Activities,322.8686635
Compensation of Employees at Constant Prices,2015Q3,"Professional, Admin and Support Services",3894.131139
Compensation of Employees at Constant Prices,2015Q3,"Public Admin, Education and Health",6120.3563172
Compensation of Employees at Constant Prices,2015Q3,"Arts, Entertainment and Other Services",691.7007032
Compensation of Employees at Constant Prices,2015Q3,All Sectors,24760.9710561
Compensation of Employees at Constant Prices,2015Q4,"Agriculture, Forestry and Fishing",273.6424446
Compensation of Employees at Constant Prices,2015Q4,Industry (excl. Construction),3315.4971151
Compensation of Employees at Constant Prices,2015Q4,Industry - of which Manufacturing,3134.9835312
Compensation of Employees at Constant Prices,2015Q4,Construction,944.0514278
Compensation of Employees at Constant Prices,2015Q4,"Distribution, Transport, Hotels and Restaurants",5361.7997923
Compensation of Employees at Constant Prices,2015Q4,Information and Communication,2023.6023769
Compensation of Employees at Constant Prices,2015Q4,Financial and Insurance Activities,1872.4874349
Compensation of Employees at Constant Prices,2015Q4,Real Estate Activities,279.9404459
Compensation of Employees at Constant Prices,2015Q4,"Professional, Admin and Support Services",3567.0926239
Compensation of Employees at Constant Prices,2015Q4,"Public Admin, Education and Health",6847.950549
