Statistic,Quarter,NST.Group,value
Tonnes Carried,2017Q4,"Wood, pulp and paper",1118
Tonnes Carried,2017Q4,Coke and refined petroleum products,2592
Tonnes Carried,2017Q4,Chemicals and plastics,931
Tonnes Carried,2017Q4,Other non-metallic mineral products,5956
Tonnes Carried,2017Q4,Metal products (except machinery and equipment),557
Tonnes Carried,2017Q4,Machinery and equipment,504
Tonnes Carried,2017Q4,Furniture and other manufactured goods,317
Tonnes Carried,2017Q4,Secondary raw materials and waste,1142
Tonnes Carried,2017Q4,Other NST 2007 goods,3876
Tonnes Carried,2018Q1,All NST 2007 goods,35589
Tonnes Carried,2018Q1,Products of agriculture forestry and fishing,2598
Tonnes Carried,2018Q1,Coal and natural gas,193
Tonnes Carried,2018Q1,"Quarry products, metal ores and peat",9871
Tonnes Carried,2018Q1,Foodstuffs,6364
Tonnes Carried,2018Q1,Textiles and leather,223
Tonnes Carried,2018Q1,"Wood, pulp and paper",1562
Tonnes Carried,2018Q1,Coke and refined petroleum products,2515
Tonnes Carried,2018Q1,Chemicals and plastics,1387
Tonnes Carried,2018Q1,Other non-metallic mineral products,4520
Tonnes Carried,2018Q1,Metal products (except machinery and equipment),429
Tonnes Carried,2018Q1,Machinery and equipment,418
Tonnes Carried,2018Q1,Furniture and other manufactured goods,347
Tonnes Carried,2018Q1,Secondary raw materials and waste,1131
Tonnes Carried,2018Q1,Other NST 2007 goods,4032
Tonnes Carried,2018Q2,All NST 2007 goods,40325
Tonnes Carried,2018Q2,Products of agriculture forestry and fishing,2808
Tonnes Carried,2018Q2,Coal and natural gas,171
Tonnes Carried,2018Q2,"Quarry products, metal ores and peat",12760
Tonnes Carried,2018Q2,Foodstuffs,6134
Tonnes Carried,2018Q2,Textiles and leather,94
Tonnes Carried,2018Q2,"Wood, pulp and paper",1726
Tonnes Carried,2018Q2,Coke and refined petroleum products,2276
Tonnes Carried,2018Q2,Chemicals and plastics,1579
Tonnes Carried,2018Q2,Other non-metallic mineral products,5611
Tonnes Carried,2018Q2,Metal products (except machinery and equipment),390
Tonnes Carried,2018Q2,Machinery and equipment,536
Tonnes Carried,2018Q2,Furniture and other manufactured goods,524
Tonnes Carried,2018Q2,Secondary raw materials and waste,1162
Tonnes Carried,2018Q2,Other NST 2007 goods,4556
Tonnes Carried,2018Q3,All NST 2007 goods,40983
Tonnes Carried,2018Q3,Products of agriculture forestry and fishing,3662
Tonnes Carried,2018Q3,Coal and natural gas,107
Tonnes Carried,2018Q3,"Quarry products, metal ores and peat",11149
Tonnes Carried,2018Q3,Foodstuffs,6852
Tonnes Carried,2018Q3,Textiles and leather,300
Tonnes Carried,2018Q3,"Wood, pulp and paper",1225
Tonnes Carried,2018Q3,Coke and refined petroleum products,2300
Tonnes Carried,2018Q3,Chemicals and plastics,1028
Tonnes Carried,2018Q3,Other non-metallic mineral products,7098
Tonnes Carried,2018Q3,Metal products (except machinery and equipment),488
Tonnes Carried,2018Q3,Machinery and equipment,645
Tonnes Carried,2018Q3,Furniture and other manufactured goods,619
Tonnes Carried,2018Q3,Secondary raw materials and waste,901
Tonnes Carried,2018Q3,Other NST 2007 goods,4608
Tonnes Carried,2018Q4,All NST 2007 goods,33138
Tonnes Carried,2018Q4,Products of agriculture forestry and fishing,2237
Tonnes Carried,2018Q4,Coal and natural gas,291
Tonnes Carried,2018Q4,"Quarry products, metal ores and peat",8670
Tonnes Carried,2018Q4,Foodstuffs,5521
Tonnes Carried,2018Q4,Textiles and leather,124
Tonnes Carried,2018Q4,"Wood, pulp and paper",1439
Tonnes Carried,2018Q4,Coke and refined petroleum products,2176
Tonnes Carried,2018Q4,Chemicals and plastics,673
Tonnes Carried,2018Q4,Other non-metallic mineral products,5415
Tonnes Carried,2018Q4,Metal products (except machinery and equipment),461
Tonnes Carried,2018Q4,Machinery and equipment,338
Tonnes Carried,2018Q4,Furniture and other manufactured goods,273
Tonnes Carried,2018Q4,Secondary raw materials and waste,993
Tonnes Carried,2018Q4,Other NST 2007 goods,4527
Tonnes Carried,2019Q1,All NST 2007 goods,36579
Tonnes Carried,2019Q1,Products of agriculture forestry and fishing,3244
Tonnes Carried,2019Q1,Coal and natural gas,351
Tonnes Carried,2019Q1,"Quarry products, metal ores and peat",9485
Tonnes Carried,2019Q1,Foodstuffs,5670
Tonnes Carried,2019Q1,Textiles and leather,201
Tonnes Carried,2019Q1,"Wood, pulp and paper",1078
Tonnes Carried,2019Q1,Coke and refined petroleum products,2312
Tonnes Carried,2019Q1,Chemicals and plastics,1323
Tonnes Carried,2019Q1,Other non-metallic mineral products,6281
Tonnes Carried,2019Q1,Metal products (except machinery and equipment),639
Tonnes Carried,2019Q1,Machinery and equipment,456
Tonnes Carried,2019Q1,Furniture and other manufactured goods,512
Tonnes Carried,2019Q1,Secondary raw materials and waste,1099
Tonnes Carried,2019Q1,Other NST 2007 goods,3928
Tonnes Carried,2019Q2,All NST 2007 goods,42782
Tonnes Carried,2019Q2,Products of agriculture forestry and fishing,3788
Tonnes Carried,2019Q2,Coal and natural gas,202
Tonnes Carried,2019Q2,"Quarry products, metal ores and peat",10862
Tonnes Carried,2019Q2,Foodstuffs,6885
Tonnes Carried,2019Q2,Textiles and leather,216
Tonnes Carried,2019Q2,"Wood, pulp and paper",1585
Tonnes Carried,2019Q2,Coke and refined petroleum products,2283
Tonnes Carried,2019Q2,Chemicals and plastics,1381
Tonnes Carried,2019Q2,Other non-metallic mineral products,7443
Tonnes Carried,2019Q2,Metal products (except machinery and equipment),548
Tonnes Carried,2019Q2,Machinery and equipment,608
Tonnes Carried,2019Q2,Furniture and other manufactured goods,514
Tonnes Carried,2019Q2,Secondary raw materials and waste,1713
Tonnes Carried,2019Q2,Other NST 2007 goods,4756
Tonnes Carried,2019Q3,All NST 2007 goods,42061
Tonnes Carried,2019Q3,Products of agriculture forestry and fishing,3688
Tonnes Carried,2019Q3,Coal and natural gas,98
Tonnes Carried,2019Q3,"Quarry products, metal ores and peat",12792
Tonnes Carried,2019Q3,Foodstuffs,6084
Tonnes Carried,2019Q3,Textiles and leather,70
Tonnes Carried,2019Q3,"Wood, pulp and paper",1267
Tonnes Carried,2019Q3,Coke and refined petroleum products,3082
Tonnes Carried,2019Q3,Chemicals and plastics,930
Tonnes Carried,2019Q3,Other non-metallic mineral products,6623
Tonnes Carried,2019Q3,Metal products (except machinery and equipment),599
Tonnes Carried,2019Q3,Machinery and equipment,535
Tonnes Carried,2019Q3,Furniture and other manufactured goods,387
Tonnes Carried,2019Q3,Secondary raw materials and waste,1441
Tonnes Carried,2019Q3,Other NST 2007 goods,4465
Tonnes Carried,2019Q4,All NST 2007 goods,37992
Tonnes Carried,2019Q4,Products of agriculture forestry and fishing,3463
Tonnes Carried,2019Q4,Coal and natural gas,272
Tonnes Carried,2019Q4,"Quarry products, metal ores and peat",8914
Tonnes Carried,2019Q4,Foodstuffs,7260
Tonnes Carried,2019Q4,Textiles and leather,187
Tonnes Carried,2019Q4,"Wood, pulp and paper",1107
Tonnes Carried,2019Q4,Coke and refined petroleum products,2647
Tonnes Carried,2019Q4,Chemicals and plastics,878
Tonnes Carried,2019Q4,Other non-metallic mineral products,5476
Tonnes Carried,2019Q4,Metal products (except machinery and equipment),336
Tonnes Carried,2019Q4,Machinery and equipment,871
Tonnes Carried,2019Q4,Furniture and other manufactured goods,285
Tonnes Carried,2019Q4,Secondary raw materials and waste,1891
Tonnes Carried,2019Q4,Other NST 2007 goods,4405
Tonnes Carried,2020Q1,All NST 2007 goods,36596
Tonnes Carried,2020Q1,Products of agriculture forestry and fishing,2568
Tonnes Carried,2020Q1,Coal and natural gas,203
Tonnes Carried,2020Q1,"Quarry products, metal ores and peat",9308
Tonnes Carried,2020Q1,Foodstuffs,6157
Tonnes Carried,2020Q1,Textiles and leather,168
Tonnes Carried,2020Q1,"Wood, pulp and paper",1365
Tonnes Carried,2020Q1,Coke and refined petroleum products,2144
Tonnes Carried,2020Q1,Chemicals and plastics,1471
Tonnes Carried,2020Q1,Other non-metallic mineral products,5976
Tonnes Carried,2020Q1,Metal products (except machinery and equipment),334
Tonnes Carried,2020Q1,Machinery and equipment,380
Tonnes Carried,2020Q1,Furniture and other manufactured goods,531
Tonnes Carried,2020Q1,Secondary raw materials and waste,1544
Tonnes Carried,2020Q1,Other NST 2007 goods,4447
Tonnes Carried,2020Q2,All NST 2007 goods,30034
Tonnes Carried,2020Q2,Products of agriculture forestry and fishing,3264
Tonnes Carried,2020Q2,Coal and natural gas,131
Tonnes Carried,2020Q2,"Quarry products, metal ores and peat",7507
Tonnes Carried,2020Q2,Foodstuffs,5966
Tonnes Carried,2020Q2,Textiles and leather,74
Tonnes Carried,2020Q2,"Wood, pulp and paper",1092
Tonnes Carried,2020Q2,Coke and refined petroleum products,2150
Tonnes Carried,2020Q2,Chemicals and plastics,690
Tonnes Carried,2020Q2,Other non-metallic mineral products,3800
Tonnes Carried,2020Q2,Metal products (except machinery and equipment),232
Tonnes Carried,2020Q2,Machinery and equipment,241
Tonnes Carried,2020Q2,Furniture and other manufactured goods,275
Tonnes Carried,2020Q2,Secondary raw materials and waste,1743
Tonnes Carried,2020Q2,Other NST 2007 goods,2868
Tonnes Carried,2020Q3,All NST 2007 goods,39771
Tonnes Carried,2020Q3,Products of agriculture forestry and fishing,4075
Tonnes Carried,2020Q3,Coal and natural gas,49
Tonnes Carried,2020Q3,"Quarry products, metal ores and peat",11015
Tonnes Carried,2020Q3,Foodstuffs,5911
Tonnes Carried,2020Q3,Textiles and leather,221
Tonnes Carried,2020Q3,"Wood, pulp and paper",1213
Tonnes Carried,2020Q3,Coke and refined petroleum products,3580
Tonnes Carried,2020Q3,Chemicals and plastics,806
Tonnes Carried,2020Q3,Other non-metallic mineral products,6338
Tonnes Carried,2020Q3,Metal products (except machinery and equipment),323
Tonnes Carried,2020Q3,Machinery and equipment,359
Tonnes Carried,2020Q3,Furniture and other manufactured goods,383
Tonnes Carried,2020Q3,Secondary raw materials and waste,1094
Tonnes Carried,2020Q3,Other NST 2007 goods,4406
Tonnes Carried,2020Q4,All NST 2007 goods,34597
Tonnes Carried,2020Q4,Products of agriculture forestry and fishing,2604
Tonnes Carried,2020Q4,Coal and natural gas,387
Tonnes Carried,2020Q4,"Quarry products, metal ores and peat",8964
Tonnes Carried,2020Q4,Foodstuffs,6267
Tonnes Carried,2020Q4,Textiles and leather,146
Tonnes Carried,2020Q4,"Wood, pulp and paper",1281
Tonnes Carried,2020Q4,Coke and refined petroleum products,2637
Tonnes Carried,2020Q4,Chemicals and plastics,532
Tonnes Carried,2020Q4,Other non-metallic mineral products,5385
Tonnes Carried,2020Q4,Metal products (except machinery and equipment),256
Tonnes Carried,2020Q4,Machinery and equipment,234
Tonnes Carried,2020Q4,Furniture and other manufactured goods,262
Tonnes Carried,2020Q4,Secondary raw materials and waste,1161
Tonnes Carried,2020Q4,Other NST 2007 goods,4480
Tonnes Carried,2021Q1,All NST 2007 goods,34343
Tonnes Carried,2021Q1,Products of agriculture forestry and fishing,3968
Tonnes Carried,2021Q1,Coal and natural gas,166
Tonnes Carried,2021Q1,"Quarry products, metal ores and peat",8123
Tonnes Carried,2021Q1,Foodstuffs,6398
Tonnes Carried,2021Q1,Textiles and leather,135
Tonnes Carried,2021Q1,"Wood, pulp and paper",859
Tonnes Carried,2021Q1,Coke and refined petroleum products,2293
Tonnes Carried,2021Q1,Chemicals and plastics,1312
Tonnes Carried,2021Q1,Other non-metallic mineral products,4607
Tonnes Carried,2021Q1,Metal products (except machinery and equipment),497
Tonnes Carried,2021Q1,Machinery and equipment,495
Tonnes Carried,2021Q1,Furniture and other manufactured goods,322
Tonnes Carried,2021Q1,Secondary raw materials and waste,1086
Tonnes Carried,2021Q1,Other NST 2007 goods,4081
Tonnes Carried,2021Q2,All NST 2007 goods,40141
Tonnes Carried,2021Q2,Products of agriculture forestry and fishing,3149
Tonnes Carried,2021Q2,Coal and natural gas,225
Tonnes Carried,2021Q2,"Quarry products, metal ores and peat",11688
Tonnes Carried,2021Q2,Foodstuffs,6149
Tonnes Carried,2021Q2,Textiles and leather,64
Tonnes Carried,2021Q2,"Wood, pulp and paper",1503
Tonnes Carried,2021Q2,Coke and refined petroleum products,1988
Tonnes Carried,2021Q2,Chemicals and plastics,1147
Tonnes Carried,2021Q2,Other non-metallic mineral products,6524
Tonnes Carried,2021Q2,Metal products (except machinery and equipment),642
Tonnes Carried,2021Q2,Machinery and equipment,396
Tonnes Carried,2021Q2,Furniture and other manufactured goods,447
Tonnes Carried,2021Q2,Secondary raw materials and waste,1850
Tonnes Carried,2021Q2,Other NST 2007 goods,4369
Tonnes Carried,2021Q3,All NST 2007 goods,43184
Tonnes Carried,2021Q3,Products of agriculture forestry and fishing,4095
Tonnes Carried,2021Q3,Coal and natural gas,231
Tonnes Carried,2021Q3,"Quarry products, metal ores and peat",13704
Tonnes Carried,2021Q3,Foodstuffs,7122
Tonnes Carried,2021Q3,Textiles and leather,222
Tonnes Carried,2021Q3,"Wood, pulp and paper",1368
Tonnes Carried,2021Q3,Coke and refined petroleum products,3037
Tonnes Carried,2021Q3,Chemicals and plastics,1160
Tonnes Carried,2021Q3,Other non-metallic mineral products,5955
Tonnes Carried,2021Q3,Metal products (except machinery and equipment),397
Tonnes Carried,2021Q3,Machinery and equipment,537
Tonnes Carried,2021Q3,Furniture and other manufactured goods,359
Tonnes Carried,2021Q3,Secondary raw materials and waste,1357
Tonnes Carried,2021Q3,Other NST 2007 goods,3639
Tonnes Carried,2021Q4,All NST 2007 goods,37399
Tonnes Carried,2021Q4,Products of agriculture forestry and fishing,2294
Tonnes Carried,2021Q4,Coal and natural gas,226
Tonnes Carried,2021Q4,"Quarry products, metal ores and peat",11033
Tonnes Carried,2021Q4,Foodstuffs,6598
Tonnes Carried,2021Q4,Textiles and leather,145
Tonnes Carried,2021Q4,"Wood, pulp and paper",1588
Tonnes Carried,2021Q4,Coke and refined petroleum products,2209
Tonnes Carried,2021Q4,Chemicals and plastics,892
Tonnes Carried,2021Q4,Other non-metallic mineral products,5457
Tonnes Carried,2021Q4,Metal products (except machinery and equipment),436
Tonnes Carried,2021Q4,Machinery and equipment,630
Tonnes Carried,2021Q4,Furniture and other manufactured goods,395
Tonnes Carried,2021Q4,Secondary raw materials and waste,1160
Tonnes Carried,2021Q4,Other NST 2007 goods,4336
Tonnes Carried,2022Q1,All NST 2007 goods,40764
Tonnes Carried,2022Q1,Products of agriculture forestry and fishing,2539
Tonnes Carried,2022Q1,Coal and natural gas,287
Tonnes Carried,2022Q1,"Quarry products, metal ores and peat",12305
Tonnes Carried,2022Q1,Foodstuffs,6536
Tonnes Carried,2022Q1,Textiles and leather,102
Tonnes Carried,2022Q1,"Wood, pulp and paper",905
Tonnes Carried,2022Q1,Coke and refined petroleum products,2789
Tonnes Carried,2022Q1,Chemicals and plastics,1674
Tonnes Carried,2022Q1,Other non-metallic mineral products,6935
Tonnes Carried,2022Q1,Metal products (except machinery and equipment),401
Tonnes Carried,2022Q1,Machinery and equipment,698
Tonnes Carried,2022Q1,Furniture and other manufactured goods,235
Tonnes Carried,2022Q1,Secondary raw materials and waste,1248
Tonnes Carried,2022Q1,Other NST 2007 goods,4111
Tonnes Carried,2022Q2,All NST 2007 goods,40875
Tonnes Carried,2022Q2,Products of agriculture forestry and fishing,3876
Tonnes Carried,2022Q2,Coal and natural gas,128
Tonnes Carried,2022Q2,"Quarry products, metal ores and peat",11637
Tonnes Carried,2022Q2,Foodstuffs,5829
Tonnes Carried,2022Q2,Textiles and leather,154
Tonnes Carried,2022Q2,"Wood, pulp and paper",1546
Tonnes Carried,2022Q2,Coke and refined petroleum products,1398
Tonnes Carried,2022Q2,Chemicals and plastics,1119
Tonnes Carried,2022Q2,Other non-metallic mineral products,7859
Tonnes Carried,2022Q2,Metal products (except machinery and equipment),579
Tonnes Carried,2022Q2,Machinery and equipment,701
Tonnes Carried,2022Q2,Furniture and other manufactured goods,292
Tonnes Carried,2022Q2,Secondary raw materials and waste,1472
Tonnes Carried,2022Q2,Other NST 2007 goods,4285
Tonnes Carried,2022Q3,All NST 2007 goods,43366
Tonnes Carried,2022Q3,Products of agriculture forestry and fishing,5182
Tonnes Carried,2022Q3,Coal and natural gas,142
Tonnes Carried,2022Q3,"Quarry products, metal ores and peat",12689
Tonnes Carried,2022Q3,Foodstuffs,7003
Tonnes Carried,2022Q3,Textiles and leather,188
Tonnes Carried,2022Q3,"Wood, pulp and paper",989
Tonnes Carried,2022Q3,Coke and refined petroleum products,1952
Tonnes Carried,2022Q3,Chemicals and plastics,804
Tonnes Carried,2022Q3,Other non-metallic mineral products,6434
Tonnes Carried,2022Q3,Metal products (except machinery and equipment),411
Tonnes Carried,2022Q3,Machinery and equipment,625
Tonnes Carried,2022Q3,Furniture and other manufactured goods,373
Tonnes Carried,2022Q3,Secondary raw materials and waste,1713
Tonnes Carried,2022Q3,Other NST 2007 goods,4861
Tonnes Carried,2022Q4,All NST 2007 goods,39180
Tonnes Carried,2022Q4,Products of agriculture forestry and fishing,3410
Tonnes Carried,2022Q4,Coal and natural gas,47
Tonnes Carried,2022Q4,"Quarry products, metal ores and peat",11198
Tonnes Carried,2022Q4,Foodstuffs,6510
Tonnes Carried,2022Q4,Textiles and leather,46
Tonnes Carried,2022Q4,"Wood, pulp and paper",1636
Tonnes Carried,2022Q4,Coke and refined petroleum products,3330
Tonnes Carried,2022Q4,Chemicals and plastics,1027
Tonnes Carried,2022Q4,Other non-metallic mineral products,6083
Tonnes Carried,2022Q4,Metal products (except machinery and equipment),334
Tonnes Carried,2022Q4,Machinery and equipment,863
Tonnes Carried,2022Q4,Furniture and other manufactured goods,280
Tonnes Carried,2022Q4,Secondary raw materials and waste,824
Tonnes Carried,2022Q4,Other NST 2007 goods,3593
Tonnes Carried,2023Q1,All NST 2007 goods,41766
Tonnes Carried,2023Q1,Products of agriculture forestry and fishing,6520
Tonnes Carried,2023Q1,Coal and natural gas,133
Tonnes Carried,2023Q1,"Quarry products, metal ores and peat",10527
Tonnes Carried,2023Q1,Foodstuffs,6308
Tonnes Carried,2023Q1,Textiles and leather,292
Tonnes Carried,2023Q1,"Wood, pulp and paper",1179
Tonnes Carried,2023Q1,Coke and refined petroleum products,2760
Tonnes Carried,2023Q1,Chemicals and plastics,724
Tonnes Carried,2023Q1,Other non-metallic mineral products,6645
Tonnes Carried,2023Q1,Metal products (except machinery and equipment),534
Tonnes Carried,2023Q1,Machinery and equipment,487
Tonnes Carried,2023Q1,Furniture and other manufactured goods,469
Tonnes Carried,2023Q1,Secondary raw materials and waste,1200
Tonnes Carried,2023Q1,Other NST 2007 goods,3989
Tonnes Carried,2023Q2,All NST 2007 goods,45704
Tonnes Carried,2023Q2,Products of agriculture forestry and fishing,3910
Tonnes Carried,2023Q2,Coal and natural gas,116
Tonnes Carried,2023Q2,"Quarry products, metal ores and peat",14800
Tonnes Carried,2023Q2,Foodstuffs,6120
Tonnes Carried,2023Q2,Textiles and leather,187
Tonnes Carried,2023Q2,"Wood, pulp and paper",1891
Tonnes Carried,2023Q2,Coke and refined petroleum products,2247
Tonnes Carried,2023Q2,Chemicals and plastics,936
Tonnes Carried,2023Q2,Other non-metallic mineral products,8349
Tonnes Carried,2023Q2,Metal products (except machinery and equipment),334
Tonnes Carried,2023Q2,Machinery and equipment,494
Tonnes Carried,2023Q2,Furniture and other manufactured goods,454
Tonnes Carried,2023Q2,Secondary raw materials and waste,1597
Tonnes Carried,2023Q2,Other NST 2007 goods,4269
Vehicle Kilometres,2009Q1,All NST 2007 goods,433
Vehicle Kilometres,2009Q1,Products of agriculture forestry and fishing,21
Vehicle Kilometres,2009Q1,Coal and natural gas,4
Vehicle Kilometres,2009Q1,"Quarry products, metal ores and peat",24
Vehicle Kilometres,2009Q1,Foodstuffs,62
Vehicle Kilometres,2009Q1,Textiles and leather,7
Vehicle Kilometres,2009Q1,"Wood, pulp and paper",16
Vehicle Kilometres,2009Q1,Coke and refined petroleum products,13
Vehicle Kilometres,2009Q1,Chemicals and plastics,16
Vehicle Kilometres,2009Q1,Other non-metallic mineral products,16
Vehicle Kilometres,2009Q1,Metal products (except machinery and equipment),14
Vehicle Kilometres,2009Q1,Machinery and equipment,18
Vehicle Kilometres,2009Q1,Furniture and other manufactured goods,10
Vehicle Kilometres,2009Q1,Secondary raw materials and waste,9
Vehicle Kilometres,2009Q1,Other NST 2007 goods,203
Vehicle Kilometres,2009Q2,All NST 2007 goods,379
Vehicle Kilometres,2009Q2,Products of agriculture forestry and fishing,15
Vehicle Kilometres,2009Q2,Coal and natural gas,2
Vehicle Kilometres,2009Q2,"Quarry products, metal ores and peat",19
Vehicle Kilometres,2009Q2,Foodstuffs,64
Vehicle Kilometres,2009Q2,Textiles and leather,2
Vehicle Kilometres,2009Q2,"Wood, pulp and paper",14
Vehicle Kilometres,2009Q2,Coke and refined petroleum products,11
Vehicle Kilometres,2009Q2,Chemicals and plastics,13
Vehicle Kilometres,2009Q2,Other non-metallic mineral products,16
Vehicle Kilometres,2009Q2,Metal products (except machinery and equipment),7
Vehicle Kilometres,2009Q2,Machinery and equipment,13
Vehicle Kilometres,2009Q2,Furniture and other manufactured goods,11
Vehicle Kilometres,2009Q2,Secondary raw materials and waste,6
Vehicle Kilometres,2009Q2,Other NST 2007 goods,184
Vehicle Kilometres,2009Q3,All NST 2007 goods,360
Vehicle Kilometres,2009Q3,Products of agriculture forestry and fishing,18
Vehicle Kilometres,2009Q3,Coal and natural gas,2
Vehicle Kilometres,2009Q3,"Quarry products, metal ores and peat",15
Vehicle Kilometres,2009Q3,Foodstuffs,65
Vehicle Kilometres,2009Q3,Textiles and leather,9
Vehicle Kilometres,2009Q3,"Wood, pulp and paper",8
Vehicle Kilometres,2009Q3,Coke and refined petroleum products,8
Vehicle Kilometres,2009Q3,Chemicals and plastics,7
Vehicle Kilometres,2009Q3,Other non-metallic mineral products,18
Vehicle Kilometres,2009Q3,Metal products (except machinery and equipment),7
Vehicle Kilometres,2009Q3,Machinery and equipment,12
Vehicle Kilometres,2009Q3,Furniture and other manufactured goods,11
Vehicle Kilometres,2009Q3,Secondary raw materials and waste,5
Vehicle Kilometres,2009Q3,Other NST 2007 goods,177
Vehicle Kilometres,2009Q4,All NST 2007 goods,411
Vehicle Kilometres,2009Q4,Products of agriculture forestry and fishing,19
Vehicle Kilometres,2009Q4,Coal and natural gas,4
Vehicle Kilometres,2009Q4,"Quarry products, metal ores and peat",16
Vehicle Kilometres,2009Q4,Foodstuffs,79
Vehicle Kilometres,2009Q4,Textiles and leather,7
Vehicle Kilometres,2009Q4,"Wood, pulp and paper",12
Vehicle Kilometres,2009Q4,Coke and refined petroleum products,18
Vehicle Kilometres,2009Q4,Chemicals and plastics,13
Vehicle Kilometres,2009Q4,Other non-metallic mineral products,16
Vehicle Kilometres,2009Q4,Metal products (except machinery and equipment),6
Vehicle Kilometres,2009Q4,Machinery and equipment,17
Vehicle Kilometres,2009Q4,Furniture and other manufactured goods,10
Vehicle Kilometres,2009Q4,Secondary raw materials and waste,5
Vehicle Kilometres,2009Q4,Other NST 2007 goods,189
Vehicle Kilometres,2010Q1,All NST 2007 goods,363
Vehicle Kilometres,2010Q1,Products of agriculture forestry and fishing,16
Vehicle Kilometres,2010Q1,Coal and natural gas,1
Vehicle Kilometres,2010Q1,"Quarry products, metal ores and peat",17
Vehicle Kilometres,2010Q1,Foodstuffs,62
Vehicle Kilometres,2010Q1,Textiles and leather,9
Vehicle Kilometres,2010Q1,"Wood, pulp and paper",12
Vehicle Kilometres,2010Q1,Coke and refined petroleum products,15
Vehicle Kilometres,2010Q1,Chemicals and plastics,11
Vehicle Kilometres,2010Q1,Other non-metallic mineral products,14
Vehicle Kilometres,2010Q1,Metal products (except machinery and equipment),6
Vehicle Kilometres,2010Q1,Machinery and equipment,15
Vehicle Kilometres,2010Q1,Furniture and other manufactured goods,5
Vehicle Kilometres,2010Q1,Secondary raw materials and waste,5
Vehicle Kilometres,2010Q1,Other NST 2007 goods,174
Vehicle Kilometres,2010Q2,All NST 2007 goods,400
Vehicle Kilometres,2010Q2,Products of agriculture forestry and fishing,24
Vehicle Kilometres,2010Q2,Coal and natural gas,1
Vehicle Kilometres,2010Q2,"Quarry products, metal ores and peat",15
Vehicle Kilometres,2010Q2,Foodstuffs,69
Vehicle Kilometres,2010Q2,Textiles and leather,4
Vehicle Kilometres,2010Q2,"Wood, pulp and paper",13
Vehicle Kilometres,2010Q2,Coke and refined petroleum products,15
Vehicle Kilometres,2010Q2,Chemicals and plastics,9
Vehicle Kilometres,2010Q2,Other non-metallic mineral products,17
Vehicle Kilometres,2010Q2,Metal products (except machinery and equipment),7
Vehicle Kilometres,2010Q2,Machinery and equipment,13
Vehicle Kilometres,2010Q2,Furniture and other manufactured goods,7
Vehicle Kilometres,2010Q2,Secondary raw materials and waste,7
Vehicle Kilometres,2010Q2,Other NST 2007 goods,201
Vehicle Kilometres,2010Q3,All NST 2007 goods,366
Vehicle Kilometres,2010Q3,Products of agriculture forestry and fishing,22
Vehicle Kilometres,2010Q3,Coal and natural gas,1
Vehicle Kilometres,2010Q3,"Quarry products, metal ores and peat",14
Vehicle Kilometres,2010Q3,Foodstuffs,58
Vehicle Kilometres,2010Q3,Textiles and leather,3
Vehicle Kilometres,2010Q3,"Wood, pulp and paper",13
Vehicle Kilometres,2010Q3,Coke and refined petroleum products,12
Vehicle Kilometres,2010Q3,Chemicals and plastics,11
Vehicle Kilometres,2010Q3,Other non-metallic mineral products,15
Vehicle Kilometres,2010Q3,Metal products (except machinery and equipment),6
Vehicle Kilometres,2010Q3,Machinery and equipment,10
Vehicle Kilometres,2010Q3,Furniture and other manufactured goods,7
Vehicle Kilometres,2010Q3,Secondary raw materials and waste,7
Vehicle Kilometres,2010Q3,Other NST 2007 goods,187
Vehicle Kilometres,2010Q4,All NST 2007 goods,329
Vehicle Kilometres,2010Q4,Products of agriculture forestry and fishing,21
Vehicle Kilometres,2010Q4,Coal and natural gas,2
Vehicle Kilometres,2010Q4,"Quarry products, metal ores and peat",11
Vehicle Kilometres,2010Q4,Foodstuffs,57
Vehicle Kilometres,2010Q4,Textiles and leather,5
Vehicle Kilometres,2010Q4,"Wood, pulp and paper",11
Vehicle Kilometres,2010Q4,Coke and refined petroleum products,13
Vehicle Kilometres,2010Q4,Chemicals and plastics,8
Vehicle Kilometres,2010Q4,Other non-metallic mineral products,12
Vehicle Kilometres,2010Q4,Metal products (except machinery and equipment),5
Vehicle Kilometres,2010Q4,Machinery and equipment,8
Vehicle Kilometres,2010Q4,Furniture and other manufactured goods,7
Vehicle Kilometres,2010Q4,Secondary raw materials and waste,6
Vehicle Kilometres,2010Q4,Other NST 2007 goods,162
Vehicle Kilometres,2011Q1,All NST 2007 goods,330
Vehicle Kilometres,2011Q1,Products of agriculture forestry and fishing,22
Vehicle Kilometres,2011Q1,Coal and natural gas,3
Vehicle Kilometres,2011Q1,"Quarry products, metal ores and peat",10
Vehicle Kilometres,2011Q1,Foodstuffs,53
Vehicle Kilometres,2011Q1,Textiles and leather,6
Vehicle Kilometres,2011Q1,"Wood, pulp and paper",10
Vehicle Kilometres,2011Q1,Coke and refined petroleum products,15
Vehicle Kilometres,2011Q1,Chemicals and plastics,11
Vehicle Kilometres,2011Q1,Other non-metallic mineral products,9
Vehicle Kilometres,2011Q1,Metal products (except machinery and equipment),6
Vehicle Kilometres,2011Q1,Machinery and equipment,10
Vehicle Kilometres,2011Q1,Furniture and other manufactured goods,8
Vehicle Kilometres,2011Q1,Secondary raw materials and waste,7
Vehicle Kilometres,2011Q1,Other NST 2007 goods,163
Vehicle Kilometres,2011Q2,All NST 2007 goods,363
Vehicle Kilometres,2011Q2,Products of agriculture forestry and fishing,25
