Statistic,Quarter,NST.Group,value
Tonne-Kilometre,2012Q4,Foodstuffs,607
Tonne-Kilometre,2012Q4,Textiles and leather,28
Tonne-Kilometre,2012Q4,"Wood, pulp and paper",107
Tonne-Kilometre,2012Q4,Coke and refined petroleum products,195
Tonne-Kilometre,2012Q4,Chemicals and plastics,76
Tonne-Kilometre,2012Q4,Other non-metallic mineral products,138
Tonne-Kilometre,2012Q4,Metal products (except machinery and equipment),47
Tonne-Kilometre,2012Q4,Machinery and equipment,59
Tonne-Kilometre,2012Q4,Furniture and other manufactured goods,31
Tonne-Kilometre,2012Q4,Secondary raw materials and waste,71
Tonne-Kilometre,2012Q4,Other NST 2007 goods,432
Tonne-Kilometre,2013Q1,All NST 2007 goods,2293
Tonne-Kilometre,2013Q1,Products of agriculture forestry and fishing,219
Tonne-Kilometre,2013Q1,Coal and natural gas,10
Tonne-Kilometre,2013Q1,"Quarry products, metal ores and peat",199
Tonne-Kilometre,2013Q1,Foodstuffs,672
Tonne-Kilometre,2013Q1,Textiles and leather,31
Tonne-Kilometre,2013Q1,"Wood, pulp and paper",130
Tonne-Kilometre,2013Q1,Coke and refined petroleum products,178
Tonne-Kilometre,2013Q1,Chemicals and plastics,119
Tonne-Kilometre,2013Q1,Other non-metallic mineral products,113
Tonne-Kilometre,2013Q1,Metal products (except machinery and equipment),51
Tonne-Kilometre,2013Q1,Machinery and equipment,53
Tonne-Kilometre,2013Q1,Furniture and other manufactured goods,40
Tonne-Kilometre,2013Q1,Secondary raw materials and waste,40
Tonne-Kilometre,2013Q1,Other NST 2007 goods,438
Tonne-Kilometre,2013Q2,All NST 2007 goods,2552
Tonne-Kilometre,2013Q2,Products of agriculture forestry and fishing,269
Tonne-Kilometre,2013Q2,Coal and natural gas,16
Tonne-Kilometre,2013Q2,"Quarry products, metal ores and peat",211
Tonne-Kilometre,2013Q2,Foodstuffs,651
Tonne-Kilometre,2013Q2,Textiles and leather,22
Tonne-Kilometre,2013Q2,"Wood, pulp and paper",166
Tonne-Kilometre,2013Q2,Coke and refined petroleum products,220
