Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2021Q3,Single house,Cavan County Council,26
New Dwelling Completion,2021Q3,Single house,Cork County Council,147
New Dwelling Completion,2021Q3,Single house,Carlow County Council,9
New Dwelling Completion,2021Q3,Single house,Dublin City Council,13
New Dwelling Completion,2021Q3,Single house,Dún Laoghaire Rathdown County Council,21
New Dwelling Completion,2021Q3,Single house,Donegal County Council,91
New Dwelling Completion,2021Q3,Single house,Fingal County Council,16
New Dwelling Completion,2021Q3,Single house,Galway County Council,106
New Dwelling Completion,2021Q3,Single house,Galway City Council,8
New Dwelling Completion,2021Q3,Single house,Kildare County Council,48
New Dwelling Completion,2021Q3,Single house,Kilkenny County Council,39
New Dwelling Completion,2021Q3,Single house,Kerry County Council,52
New Dwelling Completion,2021Q3,Single house,Longford County Council,15
New Dwelling Completion,2021Q3,Single house,Louth County Council,42
New Dwelling Completion,2021Q3,Single house,Limerick City & County Council,46
New Dwelling Completion,2021Q3,Single house,Leitrim County Council,11
New Dwelling Completion,2021Q3,Single house,Laois County Council,27
New Dwelling Completion,2021Q3,Single house,Meath County Council,59
New Dwelling Completion,2021Q3,Single house,Monaghan County Council,34
New Dwelling Completion,2021Q3,Single house,Mayo County Council,59
New Dwelling Completion,2021Q3,Single house,Offaly County Council,21
New Dwelling Completion,2021Q3,Single house,Roscommon County Council,27
New Dwelling Completion,2021Q3,Single house,South Dublin County Council,10
New Dwelling Completion,2021Q3,Single house,Sligo County Council,21
New Dwelling Completion,2021Q3,Single house,Tipperary County Council,39
New Dwelling Completion,2021Q3,Single house,Waterford City & County Council,28
New Dwelling Completion,2021Q3,Single house,Westmeath County Council,28
New Dwelling Completion,2021Q3,Single house,Wicklow County Council,26
New Dwelling Completion,2021Q3,Single house,Wexford County Council,51
New Dwelling Completion,2021Q3,Single house,Ireland,1198
New Dwelling Completion,2021Q3,Scheme house,Cork City Council,126
New Dwelling Completion,2021Q3,Scheme house,Clare County Council,20
New Dwelling Completion,2021Q3,Scheme house,Cavan County Council,15
New Dwelling Completion,2021Q3,Scheme house,Cork County Council,249
New Dwelling Completion,2021Q3,Scheme house,Carlow County Council,33
New Dwelling Completion,2021Q3,Scheme house,Dublin City Council,83
New Dwelling Completion,2021Q3,Scheme house,Dún Laoghaire Rathdown County Council,46
New Dwelling Completion,2021Q3,Scheme house,Donegal County Council,9
New Dwelling Completion,2021Q3,Scheme house,Fingal County Council,269
New Dwelling Completion,2021Q3,Scheme house,Galway County Council,78
New Dwelling Completion,2021Q3,Scheme house,Galway City Council,20
New Dwelling Completion,2021Q3,Scheme house,Kildare County Council,409
New Dwelling Completion,2021Q3,Scheme house,Kilkenny County Council,34
New Dwelling Completion,2021Q3,Scheme house,Kerry County Council,49
New Dwelling Completion,2021Q3,Scheme house,Longford County Council,0
New Dwelling Completion,2021Q3,Scheme house,Louth County Council,107
New Dwelling Completion,2021Q3,Scheme house,Limerick City & County Council,89
New Dwelling Completion,2021Q3,Scheme house,Leitrim County Council,14
New Dwelling Completion,2021Q3,Scheme house,Laois County Council,79
New Dwelling Completion,2021Q3,Scheme house,Meath County Council,198
New Dwelling Completion,2021Q3,Scheme house,Monaghan County Council,0
New Dwelling Completion,2021Q3,Scheme house,Mayo County Council,25
New Dwelling Completion,2021Q3,Scheme house,Offaly County Council,39
New Dwelling Completion,2021Q3,Scheme house,Roscommon County Council,27
New Dwelling Completion,2021Q3,Scheme house,South Dublin County Council,108
New Dwelling Completion,2021Q3,Scheme house,Sligo County Council,18
New Dwelling Completion,2021Q3,Scheme house,Tipperary County Council,13
New Dwelling Completion,2021Q3,Scheme house,Waterford City & County Council,101
New Dwelling Completion,2021Q3,Scheme house,Westmeath County Council,12
New Dwelling Completion,2021Q3,Scheme house,Wicklow County Council,129
New Dwelling Completion,2021Q3,Scheme house,Wexford County Council,77
New Dwelling Completion,2021Q3,Scheme house,Ireland,2476
New Dwelling Completion,2021Q3,Apartment,Cork City Council,14
New Dwelling Completion,2021Q3,Apartment,Clare County Council,0
New Dwelling Completion,2021Q3,Apartment,Cavan County Council,1
New Dwelling Completion,2021Q3,Apartment,Cork County Council,1
New Dwelling Completion,2021Q3,Apartment,Carlow County Council,2
New Dwelling Completion,2021Q3,Apartment,Dublin City Council,275
New Dwelling Completion,2021Q3,Apartment,Dún Laoghaire Rathdown County Council,256
New Dwelling Completion,2021Q3,Apartment,Donegal County Council,9
New Dwelling Completion,2021Q3,Apartment,Fingal County Council,109
New Dwelling Completion,2021Q3,Apartment,Galway County Council,10
New Dwelling Completion,2021Q3,Apartment,Galway City Council,20
New Dwelling Completion,2021Q3,Apartment,Kildare County Council,86
New Dwelling Completion,2021Q3,Apartment,Kilkenny County Council,2
New Dwelling Completion,2021Q3,Apartment,Kerry County Council,8
New Dwelling Completion,2021Q3,Apartment,Longford County Council,2
New Dwelling Completion,2021Q3,Apartment,Louth County Council,9
New Dwelling Completion,2021Q3,Apartment,Limerick City & County Council,10
New Dwelling Completion,2021Q3,Apartment,Leitrim County Council,0
New Dwelling Completion,2021Q3,Apartment,Laois County Council,4
New Dwelling Completion,2021Q3,Apartment,Meath County Council,3
New Dwelling Completion,2021Q3,Apartment,Monaghan County Council,3
New Dwelling Completion,2021Q3,Apartment,Mayo County Council,2
New Dwelling Completion,2021Q3,Apartment,Offaly County Council,0
New Dwelling Completion,2021Q3,Apartment,Roscommon County Council,2
New Dwelling Completion,2021Q3,Apartment,South Dublin County Council,22
New Dwelling Completion,2021Q3,Apartment,Sligo County Council,3
New Dwelling Completion,2021Q3,Apartment,Tipperary County Council,9
New Dwelling Completion,2021Q3,Apartment,Waterford City & County Council,11
New Dwelling Completion,2021Q3,Apartment,Westmeath County Council,0
New Dwelling Completion,2021Q3,Apartment,Wicklow County Council,73
New Dwelling Completion,2021Q3,Apartment,Wexford County Council,10
New Dwelling Completion,2021Q3,Apartment,Ireland,956
New Dwelling Completion,2021Q3,All house types,Cork City Council,151
New Dwelling Completion,2021Q3,All house types,Clare County Council,87
New Dwelling Completion,2021Q3,All house types,Cavan County Council,42
New Dwelling Completion,2021Q3,All house types,Cork County Council,397
New Dwelling Completion,2021Q3,All house types,Carlow County Council,44
New Dwelling Completion,2021Q3,All house types,Dublin City Council,371
New Dwelling Completion,2021Q3,All house types,Dún Laoghaire Rathdown County Council,323
New Dwelling Completion,2021Q3,All house types,Donegal County Council,109
New Dwelling Completion,2021Q3,All house types,Fingal County Council,394
New Dwelling Completion,2021Q3,All house types,Galway County Council,194
New Dwelling Completion,2021Q3,All house types,Galway City Council,48
New Dwelling Completion,2021Q3,All house types,Kildare County Council,543
New Dwelling Completion,2021Q3,All house types,Kilkenny County Council,75
New Dwelling Completion,2021Q3,All house types,Kerry County Council,109
New Dwelling Completion,2021Q3,All house types,Longford County Council,17
New Dwelling Completion,2021Q3,All house types,Louth County Council,158
New Dwelling Completion,2021Q3,All house types,Limerick City & County Council,145
New Dwelling Completion,2021Q3,All house types,Leitrim County Council,25
New Dwelling Completion,2021Q3,All house types,Laois County Council,110
New Dwelling Completion,2021Q3,All house types,Meath County Council,260
New Dwelling Completion,2021Q3,All house types,Monaghan County Council,37
New Dwelling Completion,2021Q3,All house types,Mayo County Council,86
New Dwelling Completion,2021Q3,All house types,Offaly County Council,60
New Dwelling Completion,2021Q3,All house types,Roscommon County Council,56
New Dwelling Completion,2021Q3,All house types,South Dublin County Council,140
New Dwelling Completion,2021Q3,All house types,Sligo County Council,42
New Dwelling Completion,2021Q3,All house types,Tipperary County Council,61
New Dwelling Completion,2021Q3,All house types,Waterford City & County Council,140
New Dwelling Completion,2021Q3,All house types,Westmeath County Council,40
New Dwelling Completion,2021Q3,All house types,Wicklow County Council,228
New Dwelling Completion,2021Q3,All house types,Wexford County Council,138
New Dwelling Completion,2021Q3,All house types,Ireland,4630
New Dwelling Completion,2021Q4,Single house,Cork City Council,7
New Dwelling Completion,2021Q4,Single house,Clare County Council,44
New Dwelling Completion,2021Q4,Single house,Cavan County Council,32
New Dwelling Completion,2021Q4,Single house,Cork County Council,152
New Dwelling Completion,2021Q4,Single house,Carlow County Council,22
New Dwelling Completion,2021Q4,Single house,Dublin City Council,16
New Dwelling Completion,2021Q4,Single house,Dún Laoghaire Rathdown County Council,19
New Dwelling Completion,2021Q4,Single house,Donegal County Council,100
New Dwelling Completion,2021Q4,Single house,Fingal County Council,29
New Dwelling Completion,2021Q4,Single house,Galway County Council,105
New Dwelling Completion,2021Q4,Single house,Galway City Council,6
New Dwelling Completion,2021Q4,Single house,Kildare County Council,47
New Dwelling Completion,2021Q4,Single house,Kilkenny County Council,42
New Dwelling Completion,2021Q4,Single house,Kerry County Council,49
New Dwelling Completion,2021Q4,Single house,Longford County Council,13
New Dwelling Completion,2021Q4,Single house,Louth County Council,35
New Dwelling Completion,2021Q4,Single house,Limerick City & County Council,50
New Dwelling Completion,2021Q4,Single house,Leitrim County Council,16
New Dwelling Completion,2021Q4,Single house,Laois County Council,32
New Dwelling Completion,2021Q4,Single house,Meath County Council,111
New Dwelling Completion,2021Q4,Single house,Monaghan County Council,41
New Dwelling Completion,2021Q4,Single house,Mayo County Council,68
New Dwelling Completion,2021Q4,Single house,Offaly County Council,33
New Dwelling Completion,2021Q4,Single house,Roscommon County Council,27
New Dwelling Completion,2021Q4,Single house,South Dublin County Council,7
New Dwelling Completion,2021Q4,Single house,Sligo County Council,20
New Dwelling Completion,2021Q4,Single house,Tipperary County Council,54
New Dwelling Completion,2021Q4,Single house,Waterford City & County Council,50
New Dwelling Completion,2021Q4,Single house,Westmeath County Council,33
New Dwelling Completion,2021Q4,Single house,Wicklow County Council,39
New Dwelling Completion,2021Q4,Single house,Wexford County Council,84
New Dwelling Completion,2021Q4,Single house,Ireland,1383
New Dwelling Completion,2021Q4,Scheme house,Cork City Council,207
New Dwelling Completion,2021Q4,Scheme house,Clare County Council,95
New Dwelling Completion,2021Q4,Scheme house,Cavan County Council,8
New Dwelling Completion,2021Q4,Scheme house,Cork County Council,250
New Dwelling Completion,2021Q4,Scheme house,Carlow County Council,72
New Dwelling Completion,2021Q4,Scheme house,Dublin City Council,42
New Dwelling Completion,2021Q4,Scheme house,Dún Laoghaire Rathdown County Council,66
New Dwelling Completion,2021Q4,Scheme house,Donegal County Council,57
New Dwelling Completion,2021Q4,Scheme house,Fingal County Council,270
New Dwelling Completion,2021Q4,Scheme house,Galway County Council,80
New Dwelling Completion,2021Q4,Scheme house,Galway City Council,21
New Dwelling Completion,2021Q4,Scheme house,Kildare County Council,601
New Dwelling Completion,2021Q4,Scheme house,Kilkenny County Council,41
New Dwelling Completion,2021Q4,Scheme house,Kerry County Council,51
New Dwelling Completion,2021Q4,Scheme house,Longford County Council,47
New Dwelling Completion,2021Q4,Scheme house,Louth County Council,113
New Dwelling Completion,2021Q4,Scheme house,Limerick City & County Council,113
New Dwelling Completion,2021Q4,Scheme house,Leitrim County Council,5
New Dwelling Completion,2021Q4,Scheme house,Laois County Council,29
New Dwelling Completion,2021Q4,Scheme house,Meath County Council,397
New Dwelling Completion,2021Q4,Scheme house,Monaghan County Council,12
New Dwelling Completion,2021Q4,Scheme house,Mayo County Council,41
New Dwelling Completion,2021Q4,Scheme house,Offaly County Council,53
New Dwelling Completion,2021Q4,Scheme house,Roscommon County Council,10
New Dwelling Completion,2021Q4,Scheme house,South Dublin County Council,148
New Dwelling Completion,2021Q4,Scheme house,Sligo County Council,28
New Dwelling Completion,2021Q4,Scheme house,Tipperary County Council,57
New Dwelling Completion,2021Q4,Scheme house,Waterford City & County Council,130
New Dwelling Completion,2021Q4,Scheme house,Westmeath County Council,9
New Dwelling Completion,2021Q4,Scheme house,Wicklow County Council,195
New Dwelling Completion,2021Q4,Scheme house,Wexford County Council,158
New Dwelling Completion,2021Q4,Scheme house,Ireland,3406
New Dwelling Completion,2021Q4,Apartment,Cork City Council,27
New Dwelling Completion,2021Q4,Apartment,Clare County Council,5
New Dwelling Completion,2021Q4,Apartment,Cavan County Council,1
New Dwelling Completion,2021Q4,Apartment,Cork County Council,9
New Dwelling Completion,2021Q4,Apartment,Carlow County Council,0
New Dwelling Completion,2021Q4,Apartment,Dublin City Council,890
New Dwelling Completion,2021Q4,Apartment,Dún Laoghaire Rathdown County Council,520
New Dwelling Completion,2021Q4,Apartment,Donegal County Council,5
New Dwelling Completion,2021Q4,Apartment,Fingal County Council,337
New Dwelling Completion,2021Q4,Apartment,Galway County Council,15
New Dwelling Completion,2021Q4,Apartment,Galway City Council,5
New Dwelling Completion,2021Q4,Apartment,Kildare County Council,39
New Dwelling Completion,2021Q4,Apartment,Kilkenny County Council,1
New Dwelling Completion,2021Q4,Apartment,Kerry County Council,4
New Dwelling Completion,2021Q4,Apartment,Longford County Council,0
New Dwelling Completion,2021Q4,Apartment,Louth County Council,19
New Dwelling Completion,2021Q4,Apartment,Limerick City & County Council,27
New Dwelling Completion,2021Q4,Apartment,Leitrim County Council,1
New Dwelling Completion,2021Q4,Apartment,Laois County Council,5
New Dwelling Completion,2021Q4,Apartment,Meath County Council,21
New Dwelling Completion,2021Q4,Apartment,Monaghan County Council,13
New Dwelling Completion,2021Q4,Apartment,Mayo County Council,12
New Dwelling Completion,2021Q4,Apartment,Offaly County Council,1
New Dwelling Completion,2021Q4,Apartment,Roscommon County Council,0
New Dwelling Completion,2021Q4,Apartment,South Dublin County Council,147
New Dwelling Completion,2021Q4,Apartment,Sligo County Council,0
New Dwelling Completion,2021Q4,Apartment,Tipperary County Council,7
New Dwelling Completion,2021Q4,Apartment,Waterford City & County Council,0
New Dwelling Completion,2021Q4,Apartment,Westmeath County Council,0
New Dwelling Completion,2021Q4,Apartment,Wicklow County Council,3
New Dwelling Completion,2021Q4,Apartment,Wexford County Council,12
New Dwelling Completion,2021Q4,Apartment,Ireland,2126
New Dwelling Completion,2021Q4,All house types,Cork City Council,241
New Dwelling Completion,2021Q4,All house types,Clare County Council,144
New Dwelling Completion,2021Q4,All house types,Cavan County Council,41
New Dwelling Completion,2021Q4,All house types,Cork County Council,411
New Dwelling Completion,2021Q4,All house types,Carlow County Council,94
New Dwelling Completion,2021Q4,All house types,Dublin City Council,948
New Dwelling Completion,2021Q4,All house types,Dún Laoghaire Rathdown County Council,605
New Dwelling Completion,2021Q4,All house types,Donegal County Council,162
New Dwelling Completion,2021Q4,All house types,Fingal County Council,636
New Dwelling Completion,2021Q4,All house types,Galway County Council,200
New Dwelling Completion,2021Q4,All house types,Galway City Council,32
New Dwelling Completion,2021Q4,All house types,Kildare County Council,687
New Dwelling Completion,2021Q4,All house types,Kilkenny County Council,84
New Dwelling Completion,2021Q4,All house types,Kerry County Council,104
New Dwelling Completion,2021Q4,All house types,Longford County Council,60
New Dwelling Completion,2021Q4,All house types,Louth County Council,167
New Dwelling Completion,2021Q4,All house types,Limerick City & County Council,190
New Dwelling Completion,2021Q4,All house types,Leitrim County Council,22
New Dwelling Completion,2021Q4,All house types,Laois County Council,66
New Dwelling Completion,2021Q4,All house types,Meath County Council,529
New Dwelling Completion,2021Q4,All house types,Monaghan County Council,66
New Dwelling Completion,2021Q4,All house types,Mayo County Council,121
New Dwelling Completion,2021Q4,All house types,Offaly County Council,87
New Dwelling Completion,2021Q4,All house types,Roscommon County Council,37
New Dwelling Completion,2021Q4,All house types,South Dublin County Council,302
New Dwelling Completion,2021Q4,All house types,Sligo County Council,48
New Dwelling Completion,2021Q4,All house types,Tipperary County Council,118
New Dwelling Completion,2021Q4,All house types,Waterford City & County Council,180
New Dwelling Completion,2021Q4,All house types,Westmeath County Council,42
New Dwelling Completion,2021Q4,All house types,Wicklow County Council,237
New Dwelling Completion,2021Q4,All house types,Wexford County Council,254
New Dwelling Completion,2021Q4,All house types,Ireland,6915
New Dwelling Completion,2022Q1,Single house,Cork City Council,12
New Dwelling Completion,2022Q1,Single house,Clare County Council,48
New Dwelling Completion,2022Q1,Single house,Cavan County Council,26
New Dwelling Completion,2022Q1,Single house,Cork County Council,132
New Dwelling Completion,2022Q1,Single house,Carlow County Council,18
New Dwelling Completion,2022Q1,Single house,Dublin City Council,13
New Dwelling Completion,2022Q1,Single house,Dún Laoghaire Rathdown County Council,11
New Dwelling Completion,2022Q1,Single house,Donegal County Council,69
New Dwelling Completion,2022Q1,Single house,Fingal County Council,21
New Dwelling Completion,2022Q1,Single house,Galway County Council,109
New Dwelling Completion,2022Q1,Single house,Galway City Council,4
New Dwelling Completion,2022Q1,Single house,Kildare County Council,37
New Dwelling Completion,2022Q1,Single house,Kilkenny County Council,39
New Dwelling Completion,2022Q1,Single house,Kerry County Council,41
New Dwelling Completion,2022Q1,Single house,Longford County Council,20
New Dwelling Completion,2022Q1,Single house,Louth County Council,28
New Dwelling Completion,2022Q1,Single house,Limerick City & County Council,47
New Dwelling Completion,2022Q1,Single house,Leitrim County Council,9
New Dwelling Completion,2022Q1,Single house,Laois County Council,36
New Dwelling Completion,2022Q1,Single house,Meath County Council,69
New Dwelling Completion,2022Q1,Single house,Monaghan County Council,16
New Dwelling Completion,2022Q1,Single house,Mayo County Council,37
New Dwelling Completion,2022Q1,Single house,Offaly County Council,23
New Dwelling Completion,2022Q1,Single house,Roscommon County Council,24
New Dwelling Completion,2022Q1,Single house,South Dublin County Council,10
New Dwelling Completion,2022Q1,Single house,Sligo County Council,17
New Dwelling Completion,2022Q1,Single house,Tipperary County Council,44
New Dwelling Completion,2022Q1,Single house,Waterford City & County Council,30
New Dwelling Completion,2022Q1,Single house,Westmeath County Council,28
New Dwelling Completion,2022Q1,Single house,Wicklow County Council,23
New Dwelling Completion,2022Q1,Single house,Wexford County Council,63
New Dwelling Completion,2022Q1,Single house,Ireland,1104
New Dwelling Completion,2022Q1,Scheme house,Cork City Council,134
New Dwelling Completion,2022Q1,Scheme house,Clare County Council,86
New Dwelling Completion,2022Q1,Scheme house,Cavan County Council,17
New Dwelling Completion,2022Q1,Scheme house,Cork County Council,195
New Dwelling Completion,2022Q1,Scheme house,Carlow County Council,42
New Dwelling Completion,2022Q1,Scheme house,Dublin City Council,54
New Dwelling Completion,2022Q1,Scheme house,Dún Laoghaire Rathdown County Council,108
New Dwelling Completion,2022Q1,Scheme house,Donegal County Council,57
New Dwelling Completion,2022Q1,Scheme house,Fingal County Council,242
New Dwelling Completion,2022Q1,Scheme house,Galway County Council,49
New Dwelling Completion,2022Q1,Scheme house,Galway City Council,13
New Dwelling Completion,2022Q1,Scheme house,Kildare County Council,255
New Dwelling Completion,2022Q1,Scheme house,Kilkenny County Council,18
New Dwelling Completion,2022Q1,Scheme house,Kerry County Council,78
New Dwelling Completion,2022Q1,Scheme house,Longford County Council,5
New Dwelling Completion,2022Q1,Scheme house,Louth County Council,153
New Dwelling Completion,2022Q1,Scheme house,Limerick City & County Council,95
New Dwelling Completion,2022Q1,Scheme house,Leitrim County Council,0
New Dwelling Completion,2022Q1,Scheme house,Laois County Council,40
New Dwelling Completion,2022Q1,Scheme house,Meath County Council,203
New Dwelling Completion,2022Q1,Scheme house,Monaghan County Council,39
New Dwelling Completion,2022Q1,Scheme house,Mayo County Council,48
New Dwelling Completion,2022Q1,Scheme house,Offaly County Council,102
New Dwelling Completion,2022Q1,Scheme house,Roscommon County Council,15
New Dwelling Completion,2022Q1,Scheme house,South Dublin County Council,195
New Dwelling Completion,2022Q1,Scheme house,Sligo County Council,18
New Dwelling Completion,2022Q1,Scheme house,Tipperary County Council,24
New Dwelling Completion,2022Q1,Scheme house,Waterford City & County Council,99
New Dwelling Completion,2022Q1,Scheme house,Westmeath County Council,23
New Dwelling Completion,2022Q1,Scheme house,Wicklow County Council,240
New Dwelling Completion,2022Q1,Scheme house,Wexford County Council,152
New Dwelling Completion,2022Q1,Scheme house,Ireland,2799
New Dwelling Completion,2022Q1,Apartment,Cork City Council,3
New Dwelling Completion,2022Q1,Apartment,Clare County Council,9
New Dwelling Completion,2022Q1,Apartment,Cavan County Council,0
New Dwelling Completion,2022Q1,Apartment,Cork County Council,18
New Dwelling Completion,2022Q1,Apartment,Carlow County Council,0
New Dwelling Completion,2022Q1,Apartment,Dublin City Council,906
New Dwelling Completion,2022Q1,Apartment,Dún Laoghaire Rathdown County Council,462
New Dwelling Completion,2022Q1,Apartment,Donegal County Council,2
New Dwelling Completion,2022Q1,Apartment,Fingal County Council,84
New Dwelling Completion,2022Q1,Apartment,Galway County Council,14
New Dwelling Completion,2022Q1,Apartment,Galway City Council,1
New Dwelling Completion,2022Q1,Apartment,Kildare County Council,16
New Dwelling Completion,2022Q1,Apartment,Kilkenny County Council,1
New Dwelling Completion,2022Q1,Apartment,Kerry County Council,14
New Dwelling Completion,2022Q1,Apartment,Longford County Council,1
New Dwelling Completion,2022Q1,Apartment,Louth County Council,18
New Dwelling Completion,2022Q1,Apartment,Limerick City & County Council,8
New Dwelling Completion,2022Q1,Apartment,Leitrim County Council,0
New Dwelling Completion,2022Q1,Apartment,Laois County Council,0
New Dwelling Completion,2022Q1,Apartment,Meath County Council,4
New Dwelling Completion,2022Q1,Apartment,Monaghan County Council,1
New Dwelling Completion,2022Q1,Apartment,Mayo County Council,12
New Dwelling Completion,2022Q1,Apartment,Offaly County Council,13
New Dwelling Completion,2022Q1,Apartment,Roscommon County Council,2
New Dwelling Completion,2022Q1,Apartment,South Dublin County Council,38
New Dwelling Completion,2022Q1,Apartment,Sligo County Council,1
New Dwelling Completion,2022Q1,Apartment,Tipperary County Council,11
New Dwelling Completion,2022Q1,Apartment,Waterford City & County Council,25
New Dwelling Completion,2022Q1,Apartment,Westmeath County Council,18
New Dwelling Completion,2022Q1,Apartment,Wicklow County Council,5
New Dwelling Completion,2022Q1,Apartment,Wexford County Council,2
New Dwelling Completion,2022Q1,Apartment,Ireland,1689
New Dwelling Completion,2022Q1,All house types,Cork City Council,149
New Dwelling Completion,2022Q1,All house types,Clare County Council,143
New Dwelling Completion,2022Q1,All house types,Cavan County Council,43
New Dwelling Completion,2022Q1,All house types,Cork County Council,345
New Dwelling Completion,2022Q1,All house types,Carlow County Council,60
New Dwelling Completion,2022Q1,All house types,Dublin City Council,973
New Dwelling Completion,2022Q1,All house types,Dún Laoghaire Rathdown County Council,581
New Dwelling Completion,2022Q1,All house types,Donegal County Council,128
New Dwelling Completion,2022Q1,All house types,Fingal County Council,347
New Dwelling Completion,2022Q1,All house types,Galway County Council,172
New Dwelling Completion,2022Q1,All house types,Galway City Council,18
New Dwelling Completion,2022Q1,All house types,Kildare County Council,308
New Dwelling Completion,2022Q1,All house types,Kilkenny County Council,58
New Dwelling Completion,2022Q1,All house types,Kerry County Council,133
New Dwelling Completion,2022Q1,All house types,Longford County Council,26
New Dwelling Completion,2022Q1,All house types,Louth County Council,199
New Dwelling Completion,2022Q1,All house types,Limerick City & County Council,150
New Dwelling Completion,2022Q1,All house types,Leitrim County Council,9
New Dwelling Completion,2022Q1,All house types,Laois County Council,76
New Dwelling Completion,2022Q1,All house types,Meath County Council,276
New Dwelling Completion,2022Q1,All house types,Monaghan County Council,56
New Dwelling Completion,2022Q1,All house types,Mayo County Council,97
New Dwelling Completion,2022Q1,All house types,Offaly County Council,138
New Dwelling Completion,2022Q1,All house types,Roscommon County Council,41
New Dwelling Completion,2022Q1,All house types,South Dublin County Council,243
New Dwelling Completion,2022Q1,All house types,Sligo County Council,36
New Dwelling Completion,2022Q1,All house types,Tipperary County Council,79
New Dwelling Completion,2022Q1,All house types,Waterford City & County Council,154
New Dwelling Completion,2022Q1,All house types,Westmeath County Council,69
New Dwelling Completion,2022Q1,All house types,Wicklow County Council,268
New Dwelling Completion,2022Q1,All house types,Wexford County Council,217
New Dwelling Completion,2022Q1,All house types,Ireland,5592
New Dwelling Completion,2022Q2,Single house,Cork City Council,19
New Dwelling Completion,2022Q2,Single house,Clare County Council,54
New Dwelling Completion,2022Q2,Single house,Cavan County Council,29
New Dwelling Completion,2022Q2,Single house,Cork County Council,170
New Dwelling Completion,2022Q2,Single house,Carlow County Council,20
New Dwelling Completion,2022Q2,Single house,Dublin City Council,16
New Dwelling Completion,2022Q2,Single house,Dún Laoghaire Rathdown County Council,8
New Dwelling Completion,2022Q2,Single house,Donegal County Council,92
New Dwelling Completion,2022Q2,Single house,Fingal County Council,22
New Dwelling Completion,2022Q2,Single house,Galway County Council,130
New Dwelling Completion,2022Q2,Single house,Galway City Council,5
New Dwelling Completion,2022Q2,Single house,Kildare County Council,38
New Dwelling Completion,2022Q2,Single house,Kilkenny County Council,39
New Dwelling Completion,2022Q2,Single house,Kerry County Council,63
New Dwelling Completion,2022Q2,Single house,Longford County Council,14
New Dwelling Completion,2022Q2,Single house,Louth County Council,29
New Dwelling Completion,2022Q2,Single house,Limerick City & County Council,53
New Dwelling Completion,2022Q2,Single house,Leitrim County Council,10
New Dwelling Completion,2022Q2,Single house,Laois County Council,40
New Dwelling Completion,2022Q2,Single house,Meath County Council,67
New Dwelling Completion,2022Q2,Single house,Monaghan County Council,40
New Dwelling Completion,2022Q2,Single house,Mayo County Council,70
New Dwelling Completion,2022Q2,Single house,Offaly County Council,32
New Dwelling Completion,2022Q2,Single house,Roscommon County Council,26
New Dwelling Completion,2022Q2,Single house,South Dublin County Council,9
New Dwelling Completion,2022Q2,Single house,Sligo County Council,24
New Dwelling Completion,2022Q2,Single house,Tipperary County Council,52
New Dwelling Completion,2022Q2,Single house,Waterford City & County Council,26
New Dwelling Completion,2022Q2,Single house,Westmeath County Council,37
New Dwelling Completion,2022Q2,Single house,Wicklow County Council,37
New Dwelling Completion,2022Q2,Single house,Wexford County Council,58
New Dwelling Completion,2022Q2,Single house,Ireland,1329
New Dwelling Completion,2022Q2,Scheme house,Cork City Council,237
New Dwelling Completion,2022Q2,Scheme house,Clare County Council,91
New Dwelling Completion,2022Q2,Scheme house,Cavan County Council,47
New Dwelling Completion,2022Q2,Scheme house,Cork County Council,273
New Dwelling Completion,2022Q2,Scheme house,Carlow County Council,31
New Dwelling Completion,2022Q2,Scheme house,Dublin City Council,38
New Dwelling Completion,2022Q2,Scheme house,Dún Laoghaire Rathdown County Council,125
New Dwelling Completion,2022Q2,Scheme house,Donegal County Council,59
New Dwelling Completion,2022Q2,Scheme house,Fingal County Council,347
New Dwelling Completion,2022Q2,Scheme house,Galway County Council,98
New Dwelling Completion,2022Q2,Scheme house,Galway City Council,77
New Dwelling Completion,2022Q2,Scheme house,Kildare County Council,454
New Dwelling Completion,2022Q2,Scheme house,Kilkenny County Council,95
New Dwelling Completion,2022Q2,Scheme house,Kerry County Council,148
New Dwelling Completion,2022Q2,Scheme house,Longford County Council,1
New Dwelling Completion,2022Q2,Scheme house,Louth County Council,154
New Dwelling Completion,2022Q2,Scheme house,Limerick City & County Council,121
New Dwelling Completion,2022Q2,Scheme house,Leitrim County Council,1
New Dwelling Completion,2022Q2,Scheme house,Laois County Council,99
New Dwelling Completion,2022Q2,Scheme house,Meath County Council,462
New Dwelling Completion,2022Q2,Scheme house,Monaghan County Council,43
New Dwelling Completion,2022Q2,Scheme house,Mayo County Council,42
New Dwelling Completion,2022Q2,Scheme house,Offaly County Council,46
New Dwelling Completion,2022Q2,Scheme house,Roscommon County Council,0
New Dwelling Completion,2022Q2,Scheme house,South Dublin County Council,321
New Dwelling Completion,2022Q2,Scheme house,Sligo County Council,20
New Dwelling Completion,2022Q2,Scheme house,Tipperary County Council,37
New Dwelling Completion,2022Q2,Scheme house,Waterford City & County Council,65
New Dwelling Completion,2022Q2,Scheme house,Westmeath County Council,28
New Dwelling Completion,2022Q2,Scheme house,Wicklow County Council,274
New Dwelling Completion,2022Q2,Scheme house,Wexford County Council,100
New Dwelling Completion,2022Q2,Scheme house,Ireland,3934
New Dwelling Completion,2022Q2,Apartment,Cork City Council,107
New Dwelling Completion,2022Q2,Apartment,Clare County Council,20
