Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2011Q2,Apartment,Meath County Council,3
New Dwelling Completion,2011Q2,Apartment,Monaghan County Council,1
New Dwelling Completion,2011Q2,Apartment,Mayo County Council,4
New Dwelling Completion,2011Q2,Apartment,Offaly County Council,0
New Dwelling Completion,2011Q2,Apartment,Roscommon County Council,2
New Dwelling Completion,2011Q2,Apartment,South Dublin County Council,1
New Dwelling Completion,2011Q2,Apartment,Sligo County Council,0
New Dwelling Completion,2011Q2,Apartment,Tipperary County Council,0
New Dwelling Completion,2011Q2,Apartment,Waterford City & County Council,0
New Dwelling Completion,2011Q2,Apartment,Westmeath County Council,1
New Dwelling Completion,2011Q2,Apartment,Wicklow County Council,4
New Dwelling Completion,2011Q2,Apartment,Wexford County Council,0
New Dwelling Completion,2011Q2,Apartment,Ireland,217
New Dwelling Completion,2011Q2,All house types,Cork City Council,36
New Dwelling Completion,2011Q2,All house types,Clare County Council,49
New Dwelling Completion,2011Q2,All house types,Cavan County Council,28
New Dwelling Completion,2011Q2,All house types,Cork County Council,200
New Dwelling Completion,2011Q2,All house types,Carlow County Council,24
New Dwelling Completion,2011Q2,All house types,Dublin City Council,109
New Dwelling Completion,2011Q2,All house types,Dún Laoghaire Rathdown County Council,68
New Dwelling Completion,2011Q2,All house types,Donegal County Council,139
New Dwelling Completion,2011Q2,All house types,Fingal County Council,134
New Dwelling Completion,2011Q2,All house types,Galway County Council,108
New Dwelling Completion,2011Q2,All house types,Galway City Council,17
New Dwelling Completion,2011Q2,All house types,Kildare County Council,42
New Dwelling Completion,2011Q2,All house types,Kilkenny County Council,50
New Dwelling Completion,2011Q2,All house types,Kerry County Council,67
New Dwelling Completion,2011Q2,All house types,Longford County Council,14
New Dwelling Completion,2011Q2,All house types,Louth County Council,53
New Dwelling Completion,2011Q2,All house types,Limerick City & County Council,49
New Dwelling Completion,2011Q2,All house types,Leitrim County Council,13
New Dwelling Completion,2011Q2,All house types,Laois County Council,33
New Dwelling Completion,2011Q2,All house types,Meath County Council,64
New Dwelling Completion,2011Q2,All house types,Monaghan County Council,21
New Dwelling Completion,2011Q2,All house types,Mayo County Council,59
New Dwelling Completion,2011Q2,All house types,Offaly County Council,36
New Dwelling Completion,2011Q2,All house types,Roscommon County Council,54
New Dwelling Completion,2011Q2,All house types,South Dublin County Council,16
New Dwelling Completion,2011Q2,All house types,Sligo County Council,34
New Dwelling Completion,2011Q2,All house types,Tipperary County Council,94
New Dwelling Completion,2011Q2,All house types,Waterford City & County Council,29
New Dwelling Completion,2011Q2,All house types,Westmeath County Council,37
New Dwelling Completion,2011Q2,All house types,Wicklow County Council,37
New Dwelling Completion,2011Q2,All house types,Wexford County Council,77
New Dwelling Completion,2011Q2,All house types,Ireland,1791
New Dwelling Completion,2011Q3,Single house,Cork City Council,9
New Dwelling Completion,2011Q3,Single house,Clare County Council,41
New Dwelling Completion,2011Q3,Single house,Cavan County Council,43
New Dwelling Completion,2011Q3,Single house,Cork County Council,145
New Dwelling Completion,2011Q3,Single house,Carlow County Council,22
New Dwelling Completion,2011Q3,Single house,Dublin City Council,17
New Dwelling Completion,2011Q3,Single house,Dún Laoghaire Rathdown County Council,11
New Dwelling Completion,2011Q3,Single house,Donegal County Council,99
New Dwelling Completion,2011Q3,Single house,Fingal County Council,16
New Dwelling Completion,2011Q3,Single house,Galway County Council,95
New Dwelling Completion,2011Q3,Single house,Galway City Council,5
New Dwelling Completion,2011Q3,Single house,Kildare County Council,35
New Dwelling Completion,2011Q3,Single house,Kilkenny County Council,45
New Dwelling Completion,2011Q3,Single house,Kerry County Council,55
