Statistic,Month,NACE.Rev.2.Sector,value
Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2025 November,Administrative & Support Service Activities (N (excl. 7735)),-1.1
Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2025 November,"Other Service Activities (L, 92, 93, 95, 96)",0.5
Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2025 November,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",3.4
Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2025 November,Wholesale Trade (46),3.2
Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2025 November,Accommodation (55),-0.8
Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2025 November,"Food Service Activities (561, 562)",-0.1
Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2025 November,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",1.8
Services Index Volume,2021 January,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),90.8
Services Index Volume,2021 January,Transportation & Storage (H),82.8
Services Index Volume,2021 January,Accommodation & Food Service Activities (I),41.5
Services Index Volume,2021 January,Information & Communication (J),89.7
Services Index Volume,2021 January,"Professional, Scientific & Technical Activities (M)",84.1
Services Index Volume,2021 January,Administrative & Support Service Activities (N (excl. 7735)),80.9
Services Index Volume,2021 January,"Other Service Activities (L, 92, 93, 95, 96)",81.8
Services Index Volume,2021 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",86.6
Services Index Volume,2021 January,Wholesale Trade (46),90.7
Services Index Volume,2021 January,Accommodation (55),22.8
Services Index Volume,2021 January,"Food Service Activities (561, 562)",66.5
Services Index Volume,2021 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",83.3
Services Index Volume,2021 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),94.3
Services Index Volume,2021 February,Transportation & Storage (H),85.6
Services Index Volume,2021 February,Accommodation & Food Service Activities (I),41.1
Services Index Volume,2021 February,Information & Communication (J),83.8
Services Index Volume,2021 February,"Professional, Scientific & Technical Activities (M)",84.2
Services Index Volume,2021 February,Administrative & Support Service Activities (N (excl. 7735)),79.3
Services Index Volume,2021 February,"Other Service Activities (L, 92, 93, 95, 96)",70.1
Services Index Volume,2021 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",83.9
Services Index Volume,2021 February,Wholesale Trade (46),91.9
Services Index Volume,2021 February,Accommodation (55),23.3
Services Index Volume,2021 February,"Food Service Activities (561, 562)",65.5
Services Index Volume,2021 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",84.0
Services Index Volume,2021 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),102.5
Services Index Volume,2021 March,Transportation & Storage (H),97.8
Services Index Volume,2021 March,Accommodation & Food Service Activities (I),48.3
Services Index Volume,2021 March,Information & Communication (J),96.8
Services Index Volume,2021 March,"Professional, Scientific & Technical Activities (M)",101.6
Services Index Volume,2021 March,Administrative & Support Service Activities (N (excl. 7735)),85.5
Services Index Volume,2021 March,"Other Service Activities (L, 92, 93, 95, 96)",68.7
Services Index Volume,2021 March,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",95.6
Services Index Volume,2021 March,Wholesale Trade (46),110.8
Services Index Volume,2021 March,Accommodation (55),29.2
Services Index Volume,2021 March,"Food Service Activities (561, 562)",76.9
Services Index Volume,2021 March,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",94.3
Services Index Volume,2021 April,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.7
Services Index Volume,2021 April,Transportation & Storage (H),90.3
Services Index Volume,2021 April,Accommodation & Food Service Activities (I),49.2
Services Index Volume,2021 April,Information & Communication (J),92.1
Services Index Volume,2021 April,"Professional, Scientific & Technical Activities (M)",88.3
Services Index Volume,2021 April,Administrative & Support Service Activities (N (excl. 7735)),109.0
Services Index Volume,2021 April,"Other Service Activities (L, 92, 93, 95, 96)",85.6
Services Index Volume,2021 April,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",92.4
Services Index Volume,2021 April,Wholesale Trade (46),100.6
Services Index Volume,2021 April,Accommodation (55),28.7
Services Index Volume,2021 April,"Food Service Activities (561, 562)",77.4
Services Index Volume,2021 April,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",92.6
Services Index Volume,2021 May,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.3
Services Index Volume,2021 May,Transportation & Storage (H),94.9
Services Index Volume,2021 May,Accommodation & Food Service Activities (I),53.3
Services Index Volume,2021 May,Information & Communication (J),93.0
Services Index Volume,2021 May,"Professional, Scientific & Technical Activities (M)",92.5
Services Index Volume,2021 May,Administrative & Support Service Activities (N (excl. 7735)),86.0
Services Index Volume,2021 May,"Other Service Activities (L, 92, 93, 95, 96)",72.8
Services Index Volume,2021 May,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",91.9
Services Index Volume,2021 May,Wholesale Trade (46),100.3
Services Index Volume,2021 May,Accommodation (55),34.4
Services Index Volume,2021 May,"Food Service Activities (561, 562)",84.5
Services Index Volume,2021 May,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",90.8
Services Index Volume,2021 June,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.5
Services Index Volume,2021 June,Transportation & Storage (H),96.6
Services Index Volume,2021 June,Accommodation & Food Service Activities (I),116.6
Services Index Volume,2021 June,Information & Communication (J),104.6
Services Index Volume,2021 June,"Professional, Scientific & Technical Activities (M)",112.7
Services Index Volume,2021 June,Administrative & Support Service Activities (N (excl. 7735)),91.4
Services Index Volume,2021 June,"Other Service Activities (L, 92, 93, 95, 96)",99.8
Services Index Volume,2021 June,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",104.2
Services Index Volume,2021 June,Wholesale Trade (46),101.6
Services Index Volume,2021 June,Accommodation (55),141.2
Services Index Volume,2021 June,"Food Service Activities (561, 562)",98.1
Services Index Volume,2021 June,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",103.8
Services Index Volume,2021 July,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.8
Services Index Volume,2021 July,Transportation & Storage (H),105.0
Services Index Volume,2021 July,Accommodation & Food Service Activities (I),135.7
Services Index Volume,2021 July,Information & Communication (J),94.5
Services Index Volume,2021 July,"Professional, Scientific & Technical Activities (M)",100.6
Services Index Volume,2021 July,Administrative & Support Service Activities (N (excl. 7735)),119.4
Services Index Volume,2021 July,"Other Service Activities (L, 92, 93, 95, 96)",108.0
Services Index Volume,2021 July,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",99.9
Services Index Volume,2021 July,Wholesale Trade (46),95.6
Services Index Volume,2021 July,Accommodation (55),178.6
Services Index Volume,2021 July,"Food Service Activities (561, 562)",102.8
Services Index Volume,2021 July,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",105.5
Services Index Volume,2021 August,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),95.4
Services Index Volume,2021 August,Transportation & Storage (H),109.8
Services Index Volume,2021 August,Accommodation & Food Service Activities (I),149.3
Services Index Volume,2021 August,Information & Communication (J),94.7
Services Index Volume,2021 August,"Professional, Scientific & Technical Activities (M)",93.1
Services Index Volume,2021 August,Administrative & Support Service Activities (N (excl. 7735)),93.0
Services Index Volume,2021 August,"Other Service Activities (L, 92, 93, 95, 96)",105.7
Services Index Volume,2021 August,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",97.1
Services Index Volume,2021 August,Wholesale Trade (46),91.3
Services Index Volume,2021 August,Accommodation (55),177.4
Services Index Volume,2021 August,"Food Service Activities (561, 562)",108.7
Services Index Volume,2021 August,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",99.5
Services Index Volume,2021 September,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.4
Services Index Volume,2021 September,Transportation & Storage (H),109.0
Services Index Volume,2021 September,Accommodation & Food Service Activities (I),147.1
Services Index Volume,2021 September,Information & Communication (J),103.6
Services Index Volume,2021 September,"Professional, Scientific & Technical Activities (M)",111.4
Services Index Volume,2021 September,Administrative & Support Service Activities (N (excl. 7735)),95.5
Services Index Volume,2021 September,"Other Service Activities (L, 92, 93, 95, 96)",123.4
Services Index Volume,2021 September,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",106.0
Services Index Volume,2021 September,Wholesale Trade (46),101.8
Services Index Volume,2021 September,Accommodation (55),154.9
Services Index Volume,2021 September,"Food Service Activities (561, 562)",125.8
Services Index Volume,2021 September,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",108.5
Services Index Volume,2021 October,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.4
Services Index Volume,2021 October,Transportation & Storage (H),115.8
Services Index Volume,2021 October,Accommodation & Food Service Activities (I),157.7
Services Index Volume,2021 October,Information & Communication (J),105.4
Services Index Volume,2021 October,"Professional, Scientific & Technical Activities (M)",99.4
Services Index Volume,2021 October,Administrative & Support Service Activities (N (excl. 7735)),135.7
Services Index Volume,2021 October,"Other Service Activities (L, 92, 93, 95, 96)",127.8
Services Index Volume,2021 October,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",107.8
Services Index Volume,2021 October,Wholesale Trade (46),103.1
Services Index Volume,2021 October,Accommodation (55),161.3
Services Index Volume,2021 October,"Food Service Activities (561, 562)",136.8
Services Index Volume,2021 October,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",110.3
Services Index Volume,2021 November,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),106.5
Services Index Volume,2021 November,Transportation & Storage (H),108.2
Services Index Volume,2021 November,Accommodation & Food Service Activities (I),131.7
Services Index Volume,2021 November,Information & Communication (J),107.4
Services Index Volume,2021 November,"Professional, Scientific & Technical Activities (M)",108.2
Services Index Volume,2021 November,Administrative & Support Service Activities (N (excl. 7735)),114.7
Services Index Volume,2021 November,"Other Service Activities (L, 92, 93, 95, 96)",117.4
Services Index Volume,2021 November,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",108.9
Services Index Volume,2021 November,Wholesale Trade (46),107.5
Services Index Volume,2021 November,Accommodation (55),126.4
Services Index Volume,2021 November,"Food Service Activities (561, 562)",127.1
Services Index Volume,2021 November,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",110.4
Services Index Volume,2021 December,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),110.5
Services Index Volume,2021 December,Transportation & Storage (H),104.2
Services Index Volume,2021 December,Accommodation & Food Service Activities (I),128.6
Services Index Volume,2021 December,Information & Communication (J),134.5
Services Index Volume,2021 December,"Professional, Scientific & Technical Activities (M)",123.9
Services Index Volume,2021 December,Administrative & Support Service Activities (N (excl. 7735)),110.4
Services Index Volume,2021 December,"Other Service Activities (L, 92, 93, 95, 96)",138.9
Services Index Volume,2021 December,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",125.9
Services Index Volume,2021 December,Wholesale Trade (46),104.8
Services Index Volume,2021 December,Accommodation (55),121.9
Services Index Volume,2021 December,"Food Service Activities (561, 562)",129.7
Services Index Volume,2021 December,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",117.0
Services Index Volume,2022 January,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),94.1
Services Index Volume,2022 January,Transportation & Storage (H),93.4
Services Index Volume,2022 January,Accommodation & Food Service Activities (I),104.6
Services Index Volume,2022 January,Information & Communication (J),100.8
Services Index Volume,2022 January,"Professional, Scientific & Technical Activities (M)",101.2
Services Index Volume,2022 January,Administrative & Support Service Activities (N (excl. 7735)),104.3
Services Index Volume,2022 January,"Other Service Activities (L, 92, 93, 95, 96)",108.0
Services Index Volume,2022 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",99.9
Services Index Volume,2022 January,Wholesale Trade (46),95.3
Services Index Volume,2022 January,Accommodation (55),90.2
Services Index Volume,2022 January,"Food Service Activities (561, 562)",132.3
Services Index Volume,2022 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",99.0
Services Index Volume,2022 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),96.7
Services Index Volume,2022 February,Transportation & Storage (H),86.5
Services Index Volume,2022 February,Accommodation & Food Service Activities (I),149.3
Services Index Volume,2022 February,Information & Communication (J),97.4
Services Index Volume,2022 February,"Professional, Scientific & Technical Activities (M)",105.0
Services Index Volume,2022 February,Administrative & Support Service Activities (N (excl. 7735)),102.0
Services Index Volume,2022 February,"Other Service Activities (L, 92, 93, 95, 96)",103.2
Services Index Volume,2022 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",100.1
Services Index Volume,2022 February,Wholesale Trade (46),99.1
Services Index Volume,2022 February,Accommodation (55),128.4
Services Index Volume,2022 February,"Food Service Activities (561, 562)",153.2
Services Index Volume,2022 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",103.0
Services Index Volume,2022 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.9
Services Index Volume,2022 March,Transportation & Storage (H),105.9
Services Index Volume,2022 March,Accommodation & Food Service Activities (I),161.1
Services Index Volume,2022 March,Information & Communication (J),117.2
Services Index Volume,2022 March,"Professional, Scientific & Technical Activities (M)",115.9
Services Index Volume,2022 March,Administrative & Support Service Activities (N (excl. 7735)),112.5
Services Index Volume,2022 March,"Other Service Activities (L, 92, 93, 95, 96)",105.6
Services Index Volume,2022 March,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",114.5
Services Index Volume,2022 March,Wholesale Trade (46),108.5
Services Index Volume,2022 March,Accommodation (55),147.3
Services Index Volume,2022 March,"Food Service Activities (561, 562)",148.7
Services Index Volume,2022 March,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",111.7
Services Index Volume,2022 April,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),92.2
Services Index Volume,2022 April,Transportation & Storage (H),119.5
Services Index Volume,2022 April,Accommodation & Food Service Activities (I),163.1
Services Index Volume,2022 April,Information & Communication (J),106.0
Services Index Volume,2022 April,"Professional, Scientific & Technical Activities (M)",91.6
Services Index Volume,2022 April,Administrative & Support Service Activities (N (excl. 7735)),100.2
Services Index Volume,2022 April,"Other Service Activities (L, 92, 93, 95, 96)",123.7
Services Index Volume,2022 April,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",103.7
Services Index Volume,2022 April,Wholesale Trade (46),93.1
Services Index Volume,2022 April,Accommodation (55),178.8
Services Index Volume,2022 April,"Food Service Activities (561, 562)",154.9
Services Index Volume,2022 April,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",101.3
Services Index Volume,2022 May,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.4
Services Index Volume,2022 May,Transportation & Storage (H),130.7
Services Index Volume,2022 May,Accommodation & Food Service Activities (I),187.7
Services Index Volume,2022 May,Information & Communication (J),112.2
Services Index Volume,2022 May,"Professional, Scientific & Technical Activities (M)",94.5
Services Index Volume,2022 May,Administrative & Support Service Activities (N (excl. 7735)),107.1
Services Index Volume,2022 May,"Other Service Activities (L, 92, 93, 95, 96)",114.4
Services Index Volume,2022 May,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",110.1
Services Index Volume,2022 May,Wholesale Trade (46),105.9
Services Index Volume,2022 May,Accommodation (55),185.5
Services Index Volume,2022 May,"Food Service Activities (561, 562)",173.1
Services Index Volume,2022 May,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",107.9
Services Index Volume,2022 June,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),102.4
Services Index Volume,2022 June,Transportation & Storage (H),133.7
Services Index Volume,2022 June,Accommodation & Food Service Activities (I),167.2
Services Index Volume,2022 June,Information & Communication (J),126.2
Services Index Volume,2022 June,"Professional, Scientific & Technical Activities (M)",112.4
Services Index Volume,2022 June,Administrative & Support Service Activities (N (excl. 7735)),99.5
Services Index Volume,2022 June,"Other Service Activities (L, 92, 93, 95, 96)",115.4
Services Index Volume,2022 June,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",119.3
Services Index Volume,2022 June,Wholesale Trade (46),106.4
Services Index Volume,2022 June,Accommodation (55),193.3
Services Index Volume,2022 June,"Food Service Activities (561, 562)",174.3
Services Index Volume,2022 June,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",112.1
Services Index Volume,2022 July,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),94.7
Services Index Volume,2022 July,Transportation & Storage (H),143.4
Services Index Volume,2022 July,Accommodation & Food Service Activities (I),175.5
Services Index Volume,2022 July,Information & Communication (J),111.9
Services Index Volume,2022 July,"Professional, Scientific & Technical Activities (M)",101.7
Services Index Volume,2022 July,Administrative & Support Service Activities (N (excl. 7735)),108.6
Services Index Volume,2022 July,"Other Service Activities (L, 92, 93, 95, 96)",120.4
Services Index Volume,2022 July,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",110.2
Services Index Volume,2022 July,Wholesale Trade (46),93.7
Services Index Volume,2022 July,Accommodation (55),195.8
Services Index Volume,2022 July,"Food Service Activities (561, 562)",175.9
Services Index Volume,2022 July,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",108.5
Services Index Volume,2022 August,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),98.8
Services Index Volume,2022 August,Transportation & Storage (H),144.7
Services Index Volume,2022 August,Accommodation & Food Service Activities (I),174.8
Services Index Volume,2022 August,Information & Communication (J),114.9
Services Index Volume,2022 August,"Professional, Scientific & Technical Activities (M)",109.0
Services Index Volume,2022 August,Administrative & Support Service Activities (N (excl. 7735)),82.7
Services Index Volume,2022 August,"Other Service Activities (L, 92, 93, 95, 96)",124.7
Services Index Volume,2022 August,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",112.2
Services Index Volume,2022 August,Wholesale Trade (46),103.6
Services Index Volume,2022 August,Accommodation (55),187.9
Services Index Volume,2022 August,"Food Service Activities (561, 562)",169.9
Services Index Volume,2022 August,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",109.5
Services Index Volume,2022 September,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),110.5
Services Index Volume,2022 September,Transportation & Storage (H),140.6
Services Index Volume,2022 September,Accommodation & Food Service Activities (I),175.4
Services Index Volume,2022 September,Information & Communication (J),123.1
Services Index Volume,2022 September,"Professional, Scientific & Technical Activities (M)",114.6
Services Index Volume,2022 September,Administrative & Support Service Activities (N (excl. 7735)),104.0
Services Index Volume,2022 September,"Other Service Activities (L, 92, 93, 95, 96)",129.3
Services Index Volume,2022 September,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",120.7
Services Index Volume,2022 September,Wholesale Trade (46),123.1
Services Index Volume,2022 September,Accommodation (55),183.2
Services Index Volume,2022 September,"Food Service Activities (561, 562)",181.5
Services Index Volume,2022 September,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",118.3
Services Index Volume,2022 October,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),90.2
Services Index Volume,2022 October,Transportation & Storage (H),136.4
Services Index Volume,2022 October,Accommodation & Food Service Activities (I),179.3
Services Index Volume,2022 October,Information & Communication (J),120.1
Services Index Volume,2022 October,"Professional, Scientific & Technical Activities (M)",100.8
Services Index Volume,2022 October,Administrative & Support Service Activities (N (excl. 7735)),102.3
Services Index Volume,2022 October,"Other Service Activities (L, 92, 93, 95, 96)",130.4
Services Index Volume,2022 October,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",113.2
Services Index Volume,2022 October,Wholesale Trade (46),90.7
Services Index Volume,2022 October,Accommodation (55),184.7
Services Index Volume,2022 October,"Food Service Activities (561, 562)",185.6
Services Index Volume,2022 October,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",106.1
Services Index Volume,2022 November,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.4
Services Index Volume,2022 November,Transportation & Storage (H),116.1
Services Index Volume,2022 November,Accommodation & Food Service Activities (I),175.3
Services Index Volume,2022 November,Information & Communication (J),123.9
Services Index Volume,2022 November,"Professional, Scientific & Technical Activities (M)",100.5
Services Index Volume,2022 November,Administrative & Support Service Activities (N (excl. 7735)),122.7
Services Index Volume,2022 November,"Other Service Activities (L, 92, 93, 95, 96)",125.4
Services Index Volume,2022 November,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",117.6
Services Index Volume,2022 November,Wholesale Trade (46),99.4
Services Index Volume,2022 November,Accommodation (55),162.0
Services Index Volume,2022 November,"Food Service Activities (561, 562)",185.4
Services Index Volume,2022 November,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",110.9
Services Index Volume,2022 December,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),107.5
Services Index Volume,2022 December,Transportation & Storage (H),135.1
Services Index Volume,2022 December,Accommodation & Food Service Activities (I),190.8
Services Index Volume,2022 December,Information & Communication (J),139.7
Services Index Volume,2022 December,"Professional, Scientific & Technical Activities (M)",105.7
Services Index Volume,2022 December,Administrative & Support Service Activities (N (excl. 7735)),133.1
Services Index Volume,2022 December,"Other Service Activities (L, 92, 93, 95, 96)",130.4
Services Index Volume,2022 December,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",129.4
Services Index Volume,2022 December,Wholesale Trade (46),96.7
Services Index Volume,2022 December,Accommodation (55),188.4
Services Index Volume,2022 December,"Food Service Activities (561, 562)",185.4
Services Index Volume,2022 December,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",118.6
Services Index Volume,2023 January,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),94.2
Services Index Volume,2023 January,Transportation & Storage (H),122.5
Services Index Volume,2023 January,Accommodation & Food Service Activities (I),146.6
Services Index Volume,2023 January,Information & Communication (J),111.5
Services Index Volume,2023 January,"Professional, Scientific & Technical Activities (M)",99.3
Services Index Volume,2023 January,Administrative & Support Service Activities (N (excl. 7735)),100.4
Services Index Volume,2023 January,"Other Service Activities (L, 92, 93, 95, 96)",129.9
Services Index Volume,2023 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",107.8
Services Index Volume,2023 January,Wholesale Trade (46),91.9
Services Index Volume,2023 January,Accommodation (55),149.3
Services Index Volume,2023 January,"Food Service Activities (561, 562)",168.6
Services Index Volume,2023 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",103.9
Services Index Volume,2023 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),96.7
Services Index Volume,2023 February,Transportation & Storage (H),105.1
Services Index Volume,2023 February,Accommodation & Food Service Activities (I),162.0
Services Index Volume,2023 February,Information & Communication (J),107.1
Services Index Volume,2023 February,"Professional, Scientific & Technical Activities (M)",100.3
Services Index Volume,2023 February,Administrative & Support Service Activities (N (excl. 7735)),113.6
Services Index Volume,2023 February,"Other Service Activities (L, 92, 93, 95, 96)",118.4
Services Index Volume,2023 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",106.5
Services Index Volume,2023 February,Wholesale Trade (46),96.2
Services Index Volume,2023 February,Accommodation (55),149.2
Services Index Volume,2023 February,"Food Service Activities (561, 562)",159.8
Services Index Volume,2023 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",105.9
Services Index Volume,2023 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),95.9
Services Index Volume,2023 March,Transportation & Storage (H),118.1
Services Index Volume,2023 March,Accommodation & Food Service Activities (I),186.7
Services Index Volume,2023 March,Information & Communication (J),117.6
Services Index Volume,2023 March,"Professional, Scientific & Technical Activities (M)",118.4
Services Index Volume,2023 March,Administrative & Support Service Activities (N (excl. 7735)),106.4
Services Index Volume,2023 March,"Other Service Activities (L, 92, 93, 95, 96)",135.2
Services Index Volume,2023 March,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",115.7
Services Index Volume,2023 March,Wholesale Trade (46),96.0
Services Index Volume,2023 March,Accommodation (55),172.0
Services Index Volume,2023 March,"Food Service Activities (561, 562)",185.4
Services Index Volume,2023 March,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",113.7
Services Index Volume,2023 April,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),91.5
Services Index Volume,2023 April,Transportation & Storage (H),127.5
Services Index Volume,2023 April,Accommodation & Food Service Activities (I),178.9
Services Index Volume,2023 April,Information & Communication (J),112.8
Services Index Volume,2023 April,"Professional, Scientific & Technical Activities (M)",101.0
Services Index Volume,2023 April,Administrative & Support Service Activities (N (excl. 7735)),91.5
Services Index Volume,2023 April,"Other Service Activities (L, 92, 93, 95, 96)",128.6
Services Index Volume,2023 April,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",108.8
Services Index Volume,2023 April,Wholesale Trade (46),89.2
Services Index Volume,2023 April,Accommodation (55),184.8
Services Index Volume,2023 April,"Food Service Activities (561, 562)",188.7
Services Index Volume,2023 April,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",104.7
Services Index Volume,2023 May,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.7
Services Index Volume,2023 May,Transportation & Storage (H),140.1
Services Index Volume,2023 May,Accommodation & Food Service Activities (I),194.1
Services Index Volume,2023 May,Information & Communication (J),119.4
Services Index Volume,2023 May,"Professional, Scientific & Technical Activities (M)",102.3
Services Index Volume,2023 May,Administrative & Support Service Activities (N (excl. 7735)),97.5
Services Index Volume,2023 May,"Other Service Activities (L, 92, 93, 95, 96)",131.7
Services Index Volume,2023 May,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",115.6
Services Index Volume,2023 May,Wholesale Trade (46),104.7
Services Index Volume,2023 May,Accommodation (55),184.6
Services Index Volume,2023 May,"Food Service Activities (561, 562)",189.4
Services Index Volume,2023 May,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",111.7
Services Index Volume,2023 June,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.6
Services Index Volume,2023 June,Transportation & Storage (H),146.2
Services Index Volume,2023 June,Accommodation & Food Service Activities (I),175.7
Services Index Volume,2023 June,Information & Communication (J),125.4
Services Index Volume,2023 June,"Professional, Scientific & Technical Activities (M)",119.7
