Statistic,Month,NACE.Rev.2.Sector,value
Services Index Value,2023 April,"Professional, Scientific & Technical Activities (M)",107.8
Services Index Value,2023 April,Administrative & Support Service Activities (N (excl. 7735)),104.1
Services Index Value,2023 April,"Other Service Activities (L, 92, 93, 95, 96)",143.2
Services Index Value,2023 April,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",117.5
Services Index Value,2023 April,Wholesale Trade (46),104.0
Services Index Value,2023 April,Accommodation (55),223.5
Services Index Value,2023 April,"Food Service Activities (561, 562)",209.3
Services Index Value,2023 April,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",117.3
Services Index Value,2023 May,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),115.7
Services Index Value,2023 May,Transportation & Storage (H),163.8
Services Index Value,2023 May,Accommodation & Food Service Activities (I),230.9
Services Index Value,2023 May,Information & Communication (J),124.3
Services Index Value,2023 May,"Professional, Scientific & Technical Activities (M)",109.2
Services Index Value,2023 May,Administrative & Support Service Activities (N (excl. 7735)),115.8
Services Index Value,2023 May,"Other Service Activities (L, 92, 93, 95, 96)",147.3
Services Index Value,2023 May,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",125.3
Services Index Value,2023 May,Wholesale Trade (46),122.1
Services Index Value,2023 May,Accommodation (55),239.7
Services Index Value,2023 May,"Food Service Activities (561, 562)",210.7
Services Index Value,2023 May,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",126.5
Services Index Value,2023 June,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),113.2
Services Index Value,2023 June,Transportation & Storage (H),175.2
Services Index Value,2023 June,Accommodation & Food Service Activities (I),212.6
Services Index Value,2023 June,Information & Communication (J),131.0
Services Index Value,2023 June,"Professional, Scientific & Technical Activities (M)",126.8
Services Index Value,2023 June,Administrative & Support Service Activities (N (excl. 7735)),114.9
Services Index Value,2023 June,"Other Service Activities (L, 92, 93, 95, 96)",135.9
Services Index Value,2023 June,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",130.3
Services Index Value,2023 June,Wholesale Trade (46),116.0
Services Index Value,2023 June,Accommodation (55),256.3
Services Index Value,2023 June,"Food Service Activities (561, 562)",218.1
Services Index Value,2023 June,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",129.5
Services Index Value,2023 July,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),105.2
Services Index Value,2023 July,Transportation & Storage (H),177.3
Services Index Value,2023 July,Accommodation & Food Service Activities (I),228.0
Services Index Value,2023 July,Information & Communication (J),119.1
Services Index Value,2023 July,"Professional, Scientific & Technical Activities (M)",113.0
Services Index Value,2023 July,Administrative & Support Service Activities (N (excl. 7735)),107.8
Services Index Value,2023 July,"Other Service Activities (L, 92, 93, 95, 96)",135.7
Services Index Value,2023 July,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",120.8
Services Index Value,2023 July,Wholesale Trade (46),103.7
Services Index Value,2023 July,Accommodation (55),266.7
Services Index Value,2023 July,"Food Service Activities (561, 562)",230.6
Services Index Value,2023 July,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",122.5
