Statistic,Quarter,Sub.Head,value
"Current, Capital and Financial Account Balances BPM6",2006Q1,Portfolio investment,15069
"Current, Capital and Financial Account Balances BPM6",2006Q1,Other investment,-18972
"Current, Capital and Financial Account Balances BPM6",2006Q2,Current account,-2885
"Current, Capital and Financial Account Balances BPM6",2006Q2,Capital account,27
"Current, Capital and Financial Account Balances BPM6",2006Q2,Merchandise,6790
"Current, Capital and Financial Account Balances BPM6",2006Q2,Services,-3280
"Current, Capital and Financial Account Balances BPM6",2006Q2,Primary income,-5948
"Current, Capital and Financial Account Balances BPM6",2006Q2,Invisibles,-9675
"Current, Capital and Financial Account Balances BPM6",2006Q2,Secondary income,-448
"Current, Capital and Financial Account Balances BPM6",2006Q2,Financial account,-2506
"Current, Capital and Financial Account Balances BPM6",2006Q2,Net Errors and omissions,352
"Current, Capital and Financial Account Balances BPM6",2006Q2,Direct investment,9436
"Current, Capital and Financial Account Balances BPM6",2006Q2,Portfolio investment,5782
"Current, Capital and Financial Account Balances BPM6",2006Q2,Other investment,-17834
"Current, Capital and Financial Account Balances BPM6",2006Q3,Current account,-1676
"Current, Capital and Financial Account Balances BPM6",2006Q3,Capital account,10
"Current, Capital and Financial Account Balances BPM6",2006Q3,Merchandise,8085
"Current, Capital and Financial Account Balances BPM6",2006Q3,Services,-2501
"Current, Capital and Financial Account Balances BPM6",2006Q3,Primary income,-6733
"Current, Capital and Financial Account Balances BPM6",2006Q3,Invisibles,-9761
"Current, Capital and Financial Account Balances BPM6",2006Q3,Secondary income,-526
"Current, Capital and Financial Account Balances BPM6",2006Q3,Financial account,-1961
"Current, Capital and Financial Account Balances BPM6",2006Q3,Net Errors and omissions,-295
"Current, Capital and Financial Account Balances BPM6",2006Q3,Direct investment,-5560
"Current, Capital and Financial Account Balances BPM6",2006Q3,Portfolio investment,-2601
"Current, Capital and Financial Account Balances BPM6",2006Q3,Other investment,6269
"Current, Capital and Financial Account Balances BPM6",2006Q4,Current account,-1550
"Current, Capital and Financial Account Balances BPM6",2006Q4,Capital account,165
"Current, Capital and Financial Account Balances BPM6",2006Q4,Merchandise,6780
"Current, Capital and Financial Account Balances BPM6",2006Q4,Services,-3905
"Current, Capital and Financial Account Balances BPM6",2006Q4,Primary income,-3984
"Current, Capital and Financial Account Balances BPM6",2006Q4,Invisibles,-8330
"Current, Capital and Financial Account Balances BPM6",2006Q4,Secondary income,-440
"Current, Capital and Financial Account Balances BPM6",2006Q4,Financial account,-4839
"Current, Capital and Financial Account Balances BPM6",2006Q4,Net Errors and omissions,-3454
"Current, Capital and Financial Account Balances BPM6",2006Q4,Direct investment,7689
"Current, Capital and Financial Account Balances BPM6",2006Q4,Portfolio investment,-26385
"Current, Capital and Financial Account Balances BPM6",2006Q4,Other investment,13903
"Current, Capital and Financial Account Balances BPM6",2007Q1,Current account,-4172
"Current, Capital and Financial Account Balances BPM6",2007Q1,Capital account,67
"Current, Capital and Financial Account Balances BPM6",2007Q1,Merchandise,6297
"Current, Capital and Financial Account Balances BPM6",2007Q1,Services,-2262
"Current, Capital and Financial Account Balances BPM6",2007Q1,Primary income,-7430
"Current, Capital and Financial Account Balances BPM6",2007Q1,Invisibles,-10469
"Current, Capital and Financial Account Balances BPM6",2007Q1,Secondary income,-777
"Current, Capital and Financial Account Balances BPM6",2007Q1,Financial account,-2874
"Current, Capital and Financial Account Balances BPM6",2007Q1,Net Errors and omissions,1231
"Current, Capital and Financial Account Balances BPM6",2007Q1,Direct investment,-1000
"Current, Capital and Financial Account Balances BPM6",2007Q1,Portfolio investment,976
"Current, Capital and Financial Account Balances BPM6",2007Q1,Other investment,-2897
"Current, Capital and Financial Account Balances BPM6",2007Q2,Current account,-3637
"Current, Capital and Financial Account Balances BPM6",2007Q2,Capital account,15
"Current, Capital and Financial Account Balances BPM6",2007Q2,Merchandise,7375
"Current, Capital and Financial Account Balances BPM6",2007Q2,Services,-2917
"Current, Capital and Financial Account Balances BPM6",2007Q2,Primary income,-7625
"Current, Capital and Financial Account Balances BPM6",2007Q2,Invisibles,-11012
"Current, Capital and Financial Account Balances BPM6",2007Q2,Secondary income,-470
"Current, Capital and Financial Account Balances BPM6",2007Q2,Financial account,-1615
"Current, Capital and Financial Account Balances BPM6",2007Q2,Net Errors and omissions,2007
"Current, Capital and Financial Account Balances BPM6",2007Q2,Direct investment,3245
"Current, Capital and Financial Account Balances BPM6",2007Q2,Portfolio investment,17579
"Current, Capital and Financial Account Balances BPM6",2007Q2,Other investment,-22430
"Current, Capital and Financial Account Balances BPM6",2007Q3,Current account,-2693
"Current, Capital and Financial Account Balances BPM6",2007Q3,Capital account,9
"Current, Capital and Financial Account Balances BPM6",2007Q3,Merchandise,7094
"Current, Capital and Financial Account Balances BPM6",2007Q3,Services,-2973
"Current, Capital and Financial Account Balances BPM6",2007Q3,Primary income,-6204
"Current, Capital and Financial Account Balances BPM6",2007Q3,Invisibles,-9787
"Current, Capital and Financial Account Balances BPM6",2007Q3,Secondary income,-609
"Current, Capital and Financial Account Balances BPM6",2007Q3,Financial account,-4183
"Current, Capital and Financial Account Balances BPM6",2007Q3,Net Errors and omissions,-1499
"Current, Capital and Financial Account Balances BPM6",2007Q3,Direct investment,1256
"Current, Capital and Financial Account Balances BPM6",2007Q3,Portfolio investment,-22769
"Current, Capital and Financial Account Balances BPM6",2007Q3,Other investment,17293
"Current, Capital and Financial Account Balances BPM6",2007Q4,Current account,-2324
"Current, Capital and Financial Account Balances BPM6",2007Q4,Capital account,24
"Current, Capital and Financial Account Balances BPM6",2007Q4,Merchandise,7932
"Current, Capital and Financial Account Balances BPM6",2007Q4,Services,-4232
"Current, Capital and Financial Account Balances BPM6",2007Q4,Primary income,-5370
"Current, Capital and Financial Account Balances BPM6",2007Q4,Invisibles,-10256
"Current, Capital and Financial Account Balances BPM6",2007Q4,Secondary income,-654
"Current, Capital and Financial Account Balances BPM6",2007Q4,Financial account,-5741
"Current, Capital and Financial Account Balances BPM6",2007Q4,Net Errors and omissions,-3441
"Current, Capital and Financial Account Balances BPM6",2007Q4,Direct investment,-5122
"Current, Capital and Financial Account Balances BPM6",2007Q4,Portfolio investment,11497
"Current, Capital and Financial Account Balances BPM6",2007Q4,Other investment,-12052
"Current, Capital and Financial Account Balances BPM6",2008Q1,Current account,-4784
"Current, Capital and Financial Account Balances BPM6",2008Q1,Capital account,42
"Current, Capital and Financial Account Balances BPM6",2008Q1,Merchandise,6304
"Current, Capital and Financial Account Balances BPM6",2008Q1,Services,-3766
"Current, Capital and Financial Account Balances BPM6",2008Q1,Primary income,-6375
"Current, Capital and Financial Account Balances BPM6",2008Q1,Invisibles,-11088
"Current, Capital and Financial Account Balances BPM6",2008Q1,Secondary income,-947
"Current, Capital and Financial Account Balances BPM6",2008Q1,Financial account,-9363
"Current, Capital and Financial Account Balances BPM6",2008Q1,Net Errors and omissions,-4621
"Current, Capital and Financial Account Balances BPM6",2008Q1,Direct investment,2933
"Current, Capital and Financial Account Balances BPM6",2008Q1,Portfolio investment,-8182
"Current, Capital and Financial Account Balances BPM6",2008Q1,Other investment,-4040
"Current, Capital and Financial Account Balances BPM6",2008Q2,Current account,-3120
"Current, Capital and Financial Account Balances BPM6",2008Q2,Capital account,66
"Current, Capital and Financial Account Balances BPM6",2008Q2,Merchandise,7819
"Current, Capital and Financial Account Balances BPM6",2008Q2,Services,-3654
"Current, Capital and Financial Account Balances BPM6",2008Q2,Primary income,-6681
"Current, Capital and Financial Account Balances BPM6",2008Q2,Invisibles,-10939
"Current, Capital and Financial Account Balances BPM6",2008Q2,Secondary income,-604
"Current, Capital and Financial Account Balances BPM6",2008Q2,Financial account,-10053
"Current, Capital and Financial Account Balances BPM6",2008Q2,Net Errors and omissions,-6998
"Current, Capital and Financial Account Balances BPM6",2008Q2,Direct investment,2925
"Current, Capital and Financial Account Balances BPM6",2008Q2,Portfolio investment,5541
"Current, Capital and Financial Account Balances BPM6",2008Q2,Other investment,-18565
"Current, Capital and Financial Account Balances BPM6",2008Q3,Current account,-2460
"Current, Capital and Financial Account Balances BPM6",2008Q3,Capital account,0
"Current, Capital and Financial Account Balances BPM6",2008Q3,Merchandise,8881
"Current, Capital and Financial Account Balances BPM6",2008Q3,Services,-3523
"Current, Capital and Financial Account Balances BPM6",2008Q3,Primary income,-7290
"Current, Capital and Financial Account Balances BPM6",2008Q3,Invisibles,-11341
"Current, Capital and Financial Account Balances BPM6",2008Q3,Secondary income,-528
"Current, Capital and Financial Account Balances BPM6",2008Q3,Financial account,1041
"Current, Capital and Financial Account Balances BPM6",2008Q3,Net Errors and omissions,3502
"Current, Capital and Financial Account Balances BPM6",2008Q3,Direct investment,9139
"Current, Capital and Financial Account Balances BPM6",2008Q3,Portfolio investment,12083
"Current, Capital and Financial Account Balances BPM6",2008Q3,Other investment,-20220
"Current, Capital and Financial Account Balances BPM6",2008Q4,Current account,-1351
"Current, Capital and Financial Account Balances BPM6",2008Q4,Capital account,11
"Current, Capital and Financial Account Balances BPM6",2008Q4,Merchandise,9619
"Current, Capital and Financial Account Balances BPM6",2008Q4,Services,-5525
"Current, Capital and Financial Account Balances BPM6",2008Q4,Primary income,-4795
"Current, Capital and Financial Account Balances BPM6",2008Q4,Invisibles,-10970
"Current, Capital and Financial Account Balances BPM6",2008Q4,Secondary income,-650
"Current, Capital and Financial Account Balances BPM6",2008Q4,Financial account,1557
"Current, Capital and Financial Account Balances BPM6",2008Q4,Net Errors and omissions,2898
"Current, Capital and Financial Account Balances BPM6",2008Q4,Direct investment,8291
"Current, Capital and Financial Account Balances BPM6",2008Q4,Portfolio investment,36307
"Current, Capital and Financial Account Balances BPM6",2008Q4,Other investment,-43107
"Current, Capital and Financial Account Balances BPM6",2009Q1,Current account,-2820
"Current, Capital and Financial Account Balances BPM6",2009Q1,Capital account,-3
"Current, Capital and Financial Account Balances BPM6",2009Q1,Merchandise,9692
"Current, Capital and Financial Account Balances BPM6",2009Q1,Services,-4189
"Current, Capital and Financial Account Balances BPM6",2009Q1,Primary income,-7362
"Current, Capital and Financial Account Balances BPM6",2009Q1,Invisibles,-12512
"Current, Capital and Financial Account Balances BPM6",2009Q1,Secondary income,-960
"Current, Capital and Financial Account Balances BPM6",2009Q1,Financial account,1822
"Current, Capital and Financial Account Balances BPM6",2009Q1,Net Errors and omissions,4646
"Current, Capital and Financial Account Balances BPM6",2009Q1,Direct investment,858
"Current, Capital and Financial Account Balances BPM6",2009Q1,Portfolio investment,2331
"Current, Capital and Financial Account Balances BPM6",2009Q1,Other investment,-1326
"Current, Capital and Financial Account Balances BPM6",2009Q2,Current account,-2270
"Current, Capital and Financial Account Balances BPM6",2009Q2,Capital account,-1
"Current, Capital and Financial Account Balances BPM6",2009Q2,Merchandise,10140
"Current, Capital and Financial Account Balances BPM6",2009Q2,Services,-3835
"Current, Capital and Financial Account Balances BPM6",2009Q2,Primary income,-7826
"Current, Capital and Financial Account Balances BPM6",2009Q2,Invisibles,-12410
"Current, Capital and Financial Account Balances BPM6",2009Q2,Secondary income,-748
"Current, Capital and Financial Account Balances BPM6",2009Q2,Financial account,-10249
"Current, Capital and Financial Account Balances BPM6",2009Q2,Net Errors and omissions,-7978
"Current, Capital and Financial Account Balances BPM6",2009Q2,Direct investment,-1409
"Current, Capital and Financial Account Balances BPM6",2009Q2,Portfolio investment,15776
"Current, Capital and Financial Account Balances BPM6",2009Q2,Other investment,-24678
"Current, Capital and Financial Account Balances BPM6",2009Q3,Current account,-946
"Current, Capital and Financial Account Balances BPM6",2009Q3,Capital account,-10
"Current, Capital and Financial Account Balances BPM6",2009Q3,Merchandise,9783
"Current, Capital and Financial Account Balances BPM6",2009Q3,Services,-2514
"Current, Capital and Financial Account Balances BPM6",2009Q3,Primary income,-7582
"Current, Capital and Financial Account Balances BPM6",2009Q3,Invisibles,-10729
"Current, Capital and Financial Account Balances BPM6",2009Q3,Secondary income,-633
"Current, Capital and Financial Account Balances BPM6",2009Q3,Financial account,2113
"Current, Capital and Financial Account Balances BPM6",2009Q3,Net Errors and omissions,3069
"Current, Capital and Financial Account Balances BPM6",2009Q3,Direct investment,7349
"Current, Capital and Financial Account Balances BPM6",2009Q3,Portfolio investment,-26570
"Current, Capital and Financial Account Balances BPM6",2009Q3,Other investment,21337
"Current, Capital and Financial Account Balances BPM6",2009Q4,Current account,-1868
"Current, Capital and Financial Account Balances BPM6",2009Q4,Capital account,28
"Current, Capital and Financial Account Balances BPM6",2009Q4,Merchandise,9137
"Current, Capital and Financial Account Balances BPM6",2009Q4,Services,-5285
"Current, Capital and Financial Account Balances BPM6",2009Q4,Primary income,-5114
"Current, Capital and Financial Account Balances BPM6",2009Q4,Invisibles,-11005
"Current, Capital and Financial Account Balances BPM6",2009Q4,Secondary income,-607
"Current, Capital and Financial Account Balances BPM6",2009Q4,Financial account,2796
"Current, Capital and Financial Account Balances BPM6",2009Q4,Net Errors and omissions,4637
"Current, Capital and Financial Account Balances BPM6",2009Q4,Direct investment,-7044
"Current, Capital and Financial Account Balances BPM6",2009Q4,Portfolio investment,-14163
"Current, Capital and Financial Account Balances BPM6",2009Q4,Other investment,24100
"Current, Capital and Financial Account Balances BPM6",2010Q1,Current account,-1446
