Statistic,Quarter,Business.of.Owner,value
Tonnes Carried,2014Q2,Other,12092
Tonnes Carried,2014Q3,All business activities,28831
Tonnes Carried,2014Q3,Transport,16831
Tonnes Carried,2014Q3,Other,12000
Tonnes Carried,2014Q4,All business activities,26012
Tonnes Carried,2014Q4,Transport,15054
Tonnes Carried,2014Q4,Other,10958
Tonnes Carried,2015Q1,All business activities,27041
Tonnes Carried,2015Q1,Transport,14177
Tonnes Carried,2015Q1,Other,12864
Tonnes Carried,2015Q2,All business activities,29570
Tonnes Carried,2015Q2,Transport,17523
Tonnes Carried,2015Q2,Other,12047
Tonnes Carried,2015Q3,All business activities,31810
Tonnes Carried,2015Q3,Transport,18207
Tonnes Carried,2015Q3,Other,13602
Tonnes Carried,2015Q4,All business activities,29637
Tonnes Carried,2015Q4,Transport,17066
Tonnes Carried,2015Q4,Other,12572
Tonnes Carried,2016Q1,All business activities,33008
Tonnes Carried,2016Q1,Transport,19278
Tonnes Carried,2016Q1,Other,13730
Tonnes Carried,2016Q2,All business activities,35494
Tonnes Carried,2016Q2,Transport,22273
Tonnes Carried,2016Q2,Other,13221
Tonnes Carried,2016Q3,All business activities,35882
Tonnes Carried,2016Q3,Transport,22510
Tonnes Carried,2016Q3,Other,13372
Tonnes Carried,2016Q4,All business activities,37286
Tonnes Carried,2016Q4,Transport,22909
Tonnes Carried,2016Q4,Other,14377
Tonnes Carried,2017Q1,All business activities,34946
Tonnes Carried,2017Q1,Transport,20863
Tonnes Carried,2017Q1,Other,14083
Tonnes Carried,2017Q2,All business activities,39611
Tonnes Carried,2017Q2,Transport,22685
Tonnes Carried,2017Q2,Other,16926
Tonnes Carried,2017Q3,All business activities,37050
Tonnes Carried,2017Q3,Transport,21329
Tonnes Carried,2017Q3,Other,15720
Tonnes Carried,2017Q4,All business activities,35622
Tonnes Carried,2017Q4,Transport,19680
Tonnes Carried,2017Q4,Other,15943
Tonnes Carried,2018Q1,All business activities,35589
Tonnes Carried,2018Q1,Transport,18732
Tonnes Carried,2018Q1,Other,16857
Tonnes Carried,2018Q2,All business activities,40325
Tonnes Carried,2018Q2,Transport,22169
Tonnes Carried,2018Q2,Other,18156
Tonnes Carried,2018Q3,All business activities,40983
Tonnes Carried,2018Q3,Transport,22939
Tonnes Carried,2018Q3,Other,18044
Tonnes Carried,2018Q4,All business activities,33138
Tonnes Carried,2018Q4,Transport,18822
Tonnes Carried,2018Q4,Other,14316
Tonnes Carried,2019Q1,All business activities,36579
Tonnes Carried,2019Q1,Transport,21299
Tonnes Carried,2019Q1,Other,15280
Tonnes Carried,2019Q2,All business activities,42782
Tonnes Carried,2019Q2,Transport,23922
Tonnes Carried,2019Q2,Other,18861
Tonnes Carried,2019Q3,All business activities,42061
Tonnes Carried,2019Q3,Transport,23838
Tonnes Carried,2019Q3,Other,18223
Tonnes Carried,2019Q4,All business activities,37992
Tonnes Carried,2019Q4,Transport,20284
Tonnes Carried,2019Q4,Other,17707
Tonnes Carried,2020Q1,All business activities,36596
Tonnes Carried,2020Q1,Transport,20998
Tonnes Carried,2020Q1,Other,15598
Tonnes Carried,2020Q2,All business activities,30034
Tonnes Carried,2020Q2,Transport,16110
Tonnes Carried,2020Q2,Other,13924
Tonnes Carried,2020Q3,All business activities,39771
Tonnes Carried,2020Q3,Transport,20904
Tonnes Carried,2020Q3,Other,18867
Tonnes Carried,2020Q4,All business activities,34597
Tonnes Carried,2020Q4,Transport,18350
Tonnes Carried,2020Q4,Other,16247
Tonnes Carried,2021Q1,All business activities,34343
Tonnes Carried,2021Q1,Transport,18815
Tonnes Carried,2021Q1,Other,15528
Tonnes Carried,2021Q2,All business activities,39974
Tonnes Carried,2021Q2,Transport,21971
Tonnes Carried,2021Q2,Other,18003
Tonnes Carried,2021Q3,All business activities,43184
Tonnes Carried,2021Q3,Transport,25502
Tonnes Carried,2021Q3,Other,17683
Tonnes Carried,2021Q4,All business activities,37399
Tonnes Carried,2021Q4,Transport,21446
Tonnes Carried,2021Q4,Other,15953
Tonnes Carried,2022Q1,All business activities,40764
Tonnes Carried,2022Q1,Transport,22176
Tonnes Carried,2022Q1,Other,18588
Tonnes Carried,2022Q2,All business activities,40875
Tonnes Carried,2022Q2,Transport,21346
Tonnes Carried,2022Q2,Other,19529
Tonnes Carried,2022Q3,All business activities,43366
Tonnes Carried,2022Q3,Transport,25267
Tonnes Carried,2022Q3,Other,18099
Tonnes Carried,2022Q4,All business activities,39180
Tonnes Carried,2022Q4,Transport,22522
Tonnes Carried,2022Q4,Other,16658
Tonnes Carried,2023Q1,All business activities,41766
Tonnes Carried,2023Q1,Transport,22613
Tonnes Carried,2023Q1,Other,19153
Tonnes Carried,2023Q2,All business activities,45703
Tonnes Carried,2023Q2,Transport,27094
Tonnes Carried,2023Q2,Other,18609
Tonnes Carried,2023Q3,All business activities,40639
Tonnes Carried,2023Q3,Transport,23195
Tonnes Carried,2023Q3,Other,17443
Tonnes Carried,2023Q4,All business activities,37056
Tonnes Carried,2023Q4,Transport,19758
Tonnes Carried,2023Q4,Other,17298
Tonnes Carried,2024Q1,All business activities,44724
Tonnes Carried,2024Q1,Transport,24117
Tonnes Carried,2024Q1,Other,20607
Tonnes Carried,2024Q2,All business activities,42931
Tonnes Carried,2024Q2,Transport,23457
Tonnes Carried,2024Q2,Other,19474
Laden Journeys,2009Q1,All business activities,3618
Laden Journeys,2009Q1,Transport,1115
Laden Journeys,2009Q1,Other,2503
Laden Journeys,2009Q2,All business activities,3128
Laden Journeys,2009Q2,Transport,960
Laden Journeys,2009Q2,Other,2168
Laden Journeys,2009Q3,All business activities,2934
Laden Journeys,2009Q3,Transport,844
Laden Journeys,2009Q3,Other,2090
Laden Journeys,2009Q4,All business activities,2974
Laden Journeys,2009Q4,Transport,882
Laden Journeys,2009Q4,Other,2092
Laden Journeys,2010Q1,All business activities,2774
Laden Journeys,2010Q1,Transport,865
Laden Journeys,2010Q1,Other,1909
Laden Journeys,2010Q2,All business activities,3101
Laden Journeys,2010Q2,Transport,926
Laden Journeys,2010Q2,Other,2175
Laden Journeys,2010Q3,All business activities,2821
Laden Journeys,2010Q3,Transport,851
Laden Journeys,2010Q3,Other,1970
Laden Journeys,2010Q4,All business activities,2481
Laden Journeys,2010Q4,Transport,795
Laden Journeys,2010Q4,Other,1686
Laden Journeys,2011Q1,All business activities,2378
Laden Journeys,2011Q1,Transport,806
Laden Journeys,2011Q1,Other,1572
Laden Journeys,2011Q2,All business activities,2710
Laden Journeys,2011Q2,Transport,889
Laden Journeys,2011Q2,Other,1822
Laden Journeys,2011Q3,All business activities,2667
Laden Journeys,2011Q3,Transport,938
Laden Journeys,2011Q3,Other,1729
Laden Journeys,2011Q4,All business activities,2413
Laden Journeys,2011Q4,Transport,823
Laden Journeys,2011Q4,Other,1591
Laden Journeys,2012Q1,All business activities,2516
Laden Journeys,2012Q1,Transport,942
Laden Journeys,2012Q1,Other,1575
Laden Journeys,2012Q2,All business activities,2670
Laden Journeys,2012Q2,Transport,881
Laden Journeys,2012Q2,Other,1789
Laden Journeys,2012Q3,All business activities,2515
Laden Journeys,2012Q3,Transport,915
Laden Journeys,2012Q3,Other,1600
Laden Journeys,2012Q4,All business activities,2355
Laden Journeys,2012Q4,Transport,794
Laden Journeys,2012Q4,Other,1561
Laden Journeys,2013Q1,All business activities,2499
Laden Journeys,2013Q1,Transport,934
Laden Journeys,2013Q1,Other,1565
Laden Journeys,2013Q2,All business activities,2737
Laden Journeys,2013Q2,Transport,946
Laden Journeys,2013Q2,Other,1791
Laden Journeys,2013Q3,All business activities,2600
Laden Journeys,2013Q3,Transport,1027
Laden Journeys,2013Q3,Other,1573
Laden Journeys,2013Q4,All business activities,2089
Laden Journeys,2013Q4,Transport,742
Laden Journeys,2013Q4,Other,1347
Laden Journeys,2014Q1,All business activities,2661
Laden Journeys,2014Q1,Transport,1078
Laden Journeys,2014Q1,Other,1583
Laden Journeys,2014Q2,All business activities,2517
Laden Journeys,2014Q2,Transport,995
Laden Journeys,2014Q2,Other,1522
