Statistic,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1998 April,Secondhand Vehicles,4285.0
Vehicles Licensed for the First Time,1998 April,Secondhand Private Cars,3227.0
Vehicles Licensed for the First Time,1998 April,Secondhand Goods Vehicles,407.0
Vehicles Licensed for the First Time,1998 April,Secondhand Tractors,246.0
Vehicles Licensed for the First Time,1998 April,Secondhand Other Vehicles,177.0
Vehicles Licensed for the First Time,1998 April,Secondhand Motor Cycles,228.0
Vehicles Licensed for the First Time,1998 May,All Vehicles,23446.0
Vehicles Licensed for the First Time,1998 May,New Vehicles,19155.0
Vehicles Licensed for the First Time,1998 May,New Private Cars,15921.0
Vehicles Licensed for the First Time,1998 May,New Goods Vehicles,2172.0
Vehicles Licensed for the First Time,1998 May,New Tractors,273.0
Vehicles Licensed for the First Time,1998 May,New Motor Cycles,296.0
Vehicles Licensed for the First Time,1998 May,New Exempt Vehicles,254.0
Vehicles Licensed for the First Time,1998 May,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",239.0
Vehicles Licensed for the First Time,1998 May,Secondhand Vehicles,4291.0
Vehicles Licensed for the First Time,1998 May,Secondhand Private Cars,3179.0
Vehicles Licensed for the First Time,1998 May,Secondhand Goods Vehicles,388.0
Vehicles Licensed for the First Time,1998 May,Secondhand Tractors,302.0
Vehicles Licensed for the First Time,1998 May,Secondhand Other Vehicles,189.0
Vehicles Licensed for the First Time,1998 May,Secondhand Motor Cycles,233.0
Vehicles Licensed for the First Time,1998 June,All Vehicles,20870.0
Vehicles Licensed for the First Time,1998 June,New Vehicles,16440.0
Vehicles Licensed for the First Time,1998 June,New Private Cars,13381.0
Vehicles Licensed for the First Time,1998 June,New Goods Vehicles,2082.0
Vehicles Licensed for the First Time,1998 June,New Tractors,242.0
Vehicles Licensed for the First Time,1998 June,New Motor Cycles,285.0
Vehicles Licensed for the First Time,1998 June,New Exempt Vehicles,212.0
Vehicles Licensed for the First Time,1998 June,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",238.0
Vehicles Licensed for the First Time,1998 June,Secondhand Vehicles,4430.0
Vehicles Licensed for the First Time,1998 June,Secondhand Private Cars,3268.0
Vehicles Licensed for the First Time,1998 June,Secondhand Goods Vehicles,376.0
Vehicles Licensed for the First Time,1998 June,Secondhand Tractors,354.0
Vehicles Licensed for the First Time,1998 June,Secondhand Other Vehicles,194.0
Vehicles Licensed for the First Time,1998 June,Secondhand Motor Cycles,238.0
Vehicles Licensed for the First Time,1998 July,All Vehicles,20838.0
Vehicles Licensed for the First Time,1998 July,New Vehicles,16702.0
Vehicles Licensed for the First Time,1998 July,New Private Cars,13779.0
Vehicles Licensed for the First Time,1998 July,New Goods Vehicles,2011.0
Vehicles Licensed for the First Time,1998 July,New Tractors,209.0
Vehicles Licensed for the First Time,1998 July,New Motor Cycles,283.0
Vehicles Licensed for the First Time,1998 July,New Exempt Vehicles,264.0
Vehicles Licensed for the First Time,1998 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",156.0
Vehicles Licensed for the First Time,1998 July,Secondhand Vehicles,4136.0
Vehicles Licensed for the First Time,1998 July,Secondhand Private Cars,3107.0
Vehicles Licensed for the First Time,1998 July,Secondhand Goods Vehicles,354.0
Vehicles Licensed for the First Time,1998 July,Secondhand Tractors,278.0
Vehicles Licensed for the First Time,1998 July,Secondhand Other Vehicles,153.0
Vehicles Licensed for the First Time,1998 July,Secondhand Motor Cycles,244.0
Vehicles Licensed for the First Time,1998 August,All Vehicles,16136.0
Vehicles Licensed for the First Time,1998 August,New Vehicles,11754.0
Vehicles Licensed for the First Time,1998 August,New Private Cars,9127.0
Vehicles Licensed for the First Time,1998 August,New Goods Vehicles,1812.0
