Statistic,Quarter,Sector,value
GVA at Current Basic Prices,2010Q4,All sectors,38835
GVA at Current Basic Prices,2010Q4,Foreign-owned multinational enterprise dominated,9229
GVA at Current Basic Prices,2010Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,29606
GVA at Current Basic Prices,2011Q1,All sectors,38731
GVA at Current Basic Prices,2011Q1,Foreign-owned multinational enterprise dominated,9832
GVA at Current Basic Prices,2011Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28899
GVA at Current Basic Prices,2011Q2,All sectors,40379
GVA at Current Basic Prices,2011Q2,Foreign-owned multinational enterprise dominated,10456
GVA at Current Basic Prices,2011Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,29923
GVA at Current Basic Prices,2011Q3,All sectors,39122
GVA at Current Basic Prices,2011Q3,Foreign-owned multinational enterprise dominated,9232
GVA at Current Basic Prices,2011Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,29889
GVA at Current Basic Prices,2011Q4,All sectors,40046
GVA at Current Basic Prices,2011Q4,Foreign-owned multinational enterprise dominated,9700
GVA at Current Basic Prices,2011Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30347
GVA at Current Basic Prices,2012Q1,All sectors,40424
GVA at Current Basic Prices,2012Q1,Foreign-owned multinational enterprise dominated,10697
GVA at Current Basic Prices,2012Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,29727
GVA at Current Basic Prices,2012Q2,All sectors,40725
GVA at Current Basic Prices,2012Q2,Foreign-owned multinational enterprise dominated,10369
GVA at Current Basic Prices,2012Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30356
GVA at Current Basic Prices,2012Q3,All sectors,39697
GVA at Current Basic Prices,2012Q3,Foreign-owned multinational enterprise dominated,9150
GVA at Current Basic Prices,2012Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30547
GVA at Current Basic Prices,2012Q4,All sectors,40614
GVA at Current Basic Prices,2012Q4,Foreign-owned multinational enterprise dominated,9081
GVA at Current Basic Prices,2012Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,31533
GVA at Current Basic Prices,2013Q1,All sectors,40703
GVA at Current Basic Prices,2013Q1,Foreign-owned multinational enterprise dominated,10016
GVA at Current Basic Prices,2013Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30687
GVA at Current Basic Prices,2013Q2,All sectors,42307
GVA at Current Basic Prices,2013Q2,Foreign-owned multinational enterprise dominated,10171
GVA at Current Basic Prices,2013Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,32136
GVA at Current Basic Prices,2013Q3,All sectors,42532
GVA at Current Basic Prices,2013Q3,Foreign-owned multinational enterprise dominated,9515
GVA at Current Basic Prices,2013Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,33016
GVA at Current Basic Prices,2013Q4,All sectors,43553
GVA at Current Basic Prices,2013Q4,Foreign-owned multinational enterprise dominated,9856
GVA at Current Basic Prices,2013Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,33697
GVA at Current Basic Prices,2014Q1,All sectors,44479
GVA at Current Basic Prices,2014Q1,Foreign-owned multinational enterprise dominated,10948
GVA at Current Basic Prices,2014Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,33532
GVA at Current Basic Prices,2014Q2,All sectors,47276
GVA at Current Basic Prices,2014Q2,Foreign-owned multinational enterprise dominated,12260
GVA at Current Basic Prices,2014Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,35016
GVA at Current Basic Prices,2014Q3,All sectors,46516
GVA at Current Basic Prices,2014Q3,Foreign-owned multinational enterprise dominated,10262
GVA at Current Basic Prices,2014Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,36254
GVA at Current Basic Prices,2014Q4,All sectors,47897
GVA at Current Basic Prices,2014Q4,Foreign-owned multinational enterprise dominated,11181
GVA at Current Basic Prices,2014Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,36716
GVA at Current Basic Prices,2015Q1,All sectors,61540
GVA at Current Basic Prices,2015Q1,Foreign-owned multinational enterprise dominated,25365
GVA at Current Basic Prices,2015Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,36175
GVA at Current Basic Prices,2015Q2,All sectors,62271
GVA at Current Basic Prices,2015Q2,Foreign-owned multinational enterprise dominated,24981
GVA at Current Basic Prices,2015Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,37290
GVA at Current Basic Prices,2015Q3,All sectors,63394
GVA at Current Basic Prices,2015Q3,Foreign-owned multinational enterprise dominated,24744
GVA at Current Basic Prices,2015Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,38650
GVA at Current Basic Prices,2015Q4,All sectors,67458
GVA at Current Basic Prices,2015Q4,Foreign-owned multinational enterprise dominated,28360
GVA at Current Basic Prices,2015Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,39098
GVA at Current Basic Prices,2016Q1,All sectors,61699
GVA at Current Basic Prices,2016Q1,Foreign-owned multinational enterprise dominated,23721
GVA at Current Basic Prices,2016Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,37979
GVA at Current Basic Prices,2016Q2,All sectors,61756
GVA at Current Basic Prices,2016Q2,Foreign-owned multinational enterprise dominated,22577
GVA at Current Basic Prices,2016Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,39178
GVA at Current Basic Prices,2016Q3,All sectors,63470
GVA at Current Basic Prices,2016Q3,Foreign-owned multinational enterprise dominated,23505
GVA at Current Basic Prices,2016Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,39965
GVA at Current Basic Prices,2016Q4,All sectors,70141
GVA at Current Basic Prices,2016Q4,Foreign-owned multinational enterprise dominated,30132
GVA at Current Basic Prices,2016Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,40009
GVA at Current Basic Prices,2017Q1,All sectors,68027
GVA at Current Basic Prices,2017Q1,Foreign-owned multinational enterprise dominated,26939
GVA at Current Basic Prices,2017Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,41088
GVA at Current Basic Prices,2017Q2,All sectors,67269
GVA at Current Basic Prices,2017Q2,Foreign-owned multinational enterprise dominated,25032
GVA at Current Basic Prices,2017Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42237
GVA at Current Basic Prices,2017Q3,All sectors,72073
GVA at Current Basic Prices,2017Q3,Foreign-owned multinational enterprise dominated,28658
GVA at Current Basic Prices,2017Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,43415
GVA at Current Basic Prices,2017Q4,All sectors,79344
GVA at Current Basic Prices,2017Q4,Foreign-owned multinational enterprise dominated,35111
GVA at Current Basic Prices,2017Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,44234
GVA at Current Basic Prices,2018Q1,All sectors,74827
GVA at Current Basic Prices,2018Q1,Foreign-owned multinational enterprise dominated,32175
GVA at Current Basic Prices,2018Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42652
GVA at Current Basic Prices,2018Q2,All sectors,75493
